energy;Mean_Abs_SHAP;Zone
3.7;0.026846995203825504;Ca ka
5.9;0.013715460643200061;Mn
1.74;0.011588135996504243;Si
6.42;0.010587561364656845;Fe ka
4.46;0.0059797717550264685;Ti ka
1.48;0.00015382984100890913;Al
7.02;0.00011514553222222178;Fe kb
2.02;3.9983305408238955e-05;P
3.32;3.373300102979829e-05;K
11.92;1.3114554090451236e-05;background12
10.72;0.0;Fe ka + Ti ka
10.68;0.0;background11
13.74;0.0;background13
1.22;0.0;background1
12.88;0.0;sum Fe
3.42;0.0;background5
8;0.0;Cu
3.84;0.0;Ca kb
2.86;0.0;Rh L + Ar
3.1;0.0;background4
4.28;0.0;background6
4.66;0.0;background7
4.76;0.0;Ti kb
2.2;0.0;S
2.46;0.0;background3
2.1;0.0;background2
7.36;0.0;background10
5.3;0.0;Cr
6.68;0.0;background9
6.02;0.0;background8
