Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ca ka > -3.87;11.393514750069212;Ca ka;-3.87;>;117.0;101.0;0.012015329546559705;Ca ka > 117.000000
Ti ka <= -3.06;10.101043286705476;Ti ka;-3.06;<=;142.0;42.0;0.005217391304345842;Ti ka <= 142.000000
Ca ka > -9.50;7.809024983375574;Ca ka;-9.50;>;46.0;78.0;0.054285525492209885;Ca ka > 46.000000
Ti ka <= 5.17;7.547334679674044;Ti ka;5.17;<=;210.0;68.0;0.054284928205914795;Ti ka <= 210.000000
Ca ka > -11.32;6.550017082321972;Ca ka;-11.32;>;22.0;93.0;0.025178102134832514;Ca ka > 22.000000
Ti ka <= 9.58;5.812306614021218;Ti ka;9.58;<=;271.0;60.0;0.04184309042689094;Ti ka <= 271.000000
Ti ka > -11.80;4.245007300605971;Ti ka;-11.80;>;17.0;266.0;0.001316404665416826;Ti ka > 17.000000
background3 <= 2.84;3.1452340432519676;background3;2.84;<=;247.0;3.0;0.0008577545885870563;background3 <= 247.000000
Ca ka <= -9.50;2.298989073159912;Ca ka;-9.50;<=;46.0;78.0;0.054285525492209885;Ca ka <= 46.000000
background3 <= 3.56;2.0096815177318983;background3;3.56;<=;245.0;227.0;0.0050163092501578355;background3 <= 245.000000
Ag ka scattering <= -2.15;1.858105825326675;Ag ka scattering;-2.15;<=;3513.0;45.0;0.002736772376570773;Ag ka scattering <= 3513.000000
background3 <= 3.24;1.6879229742593598;background3;3.24;<=;243.0;175.0;0.003476517346342689;background3 <= 243.000000
Ca ka <= -3.87;1.5942092242824963;Ca ka;-3.87;<=;117.0;101.0;0.012015329546559705;Ca ka <= 117.000000
Cu ka > -3.85;1.5367611931576766;Cu ka;-3.85;>;20.0;105.0;0.003229283820522344;Cu ka > 20.000000
background3 > 2.84;1.4083571252121516;background3;2.84;>;247.0;3.0;0.0008577545885870563;background3 > 247.000000
Ag ka scattering <= 2.53;1.3736380062928264;Ag ka scattering;2.53;<=;3627.0;176.0;0.0027460529627751917;Ag ka scattering <= 3627.000000
Ag ka scattering <= 2.97;1.2520498861537728;Ag ka scattering;2.97;<=;3522.0;199.0;0.0042895197793728634;Ag ka scattering <= 3522.000000
Cu ka > -4.34;1.2518013550821077;Cu ka;-4.34;>;19.0;36.0;0.0003812511916079231;Cu ka > 19.000000
Ti kb <= 2.65;1.2139377824887485;Ti kb;2.65;<=;40.0;45.0;0.0021458227558008858;Ti kb <= 40.000000
