Shap;Permutation;LRC_perturbation;LRC_covariance
Ca ka;K;K;Fe ka
Fe ka;Fe ka;Ca ka;K
K;Ca ka;Fe ka;Si
Si;Si;Si;Ca ka
Ca kb;Ca kb;Mn;Ti ka
Ti ka;Ti ka;background3;Fe kb
Rh L + Ar;P;S;Ca kb
background4;Mn;Ca kb;Rh L + Ar
Mn;Rh L + Ar;background4;Al
sum Fe;Fe kb;Rh L + Ar;Ti kb
P;S;Ti kb;P
Rayleight scattering;Ni;Ti ka;Compton scattering
Ni;Al;Fe kb;sum Fe
background2;sum Fe;sum Fe;Rayleight scattering
background3;background4;P;Mn
S;background3;Al;background4
Ti kb;Ti kb;Compton scattering;S
Fe kb;Compton scattering;Ni;background3
Compton scattering;Rayleight scattering;background2;Ni
Al;background2;background1;background1
;background1;Rayleight scattering;background2
background1;;;
