Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ag La <= 2.83;4.93043212101328;Ag La;2.83;<=;255.0;58.0;0.0028609384126125903;Ag La <= 255.000000
Bremsstrahlung <= -2.45;3.982823984236835;Bremsstrahlung;-2.45;<=;656.0;221.0;0.002542360458368087;Bremsstrahlung <= 656.000000
Ag Lb <= 2.77;3.528796904143367;Ag Lb;2.77;<=;179.0;95.0;0.003991629551113984;Ag Lb <= 179.000000
Bremsstrahlung <= 3.06;3.343464907693182;Bremsstrahlung;3.06;<=;675.0;164.0;0.0016140052366586666;Bremsstrahlung <= 675.000000
Ag La <= 4.26;3.3219146717827623;Ag La;4.26;<=;310.0;38.0;0.004827932698296067;Ag La <= 310.000000
Bremsstrahlung <= 3.46;2.754081337188725;Bremsstrahlung;3.46;<=;685.0;61.0;0.006385878093584374;Bremsstrahlung <= 685.000000
Ag La <= 5.23;2.627595208657075;Ag La;5.23;<=;300.0;236.0;0.002112731083268926;Ag La <= 300.000000
Bremsstrahlung > -2.45;2.481183795702197;Bremsstrahlung;-2.45;>;656.0;221.0;0.002542360458368087;Bremsstrahlung > 656.000000
Bremsstrahlung > -3.10;2.4355112552552063;Bremsstrahlung;-3.10;>;634.0;245.0;0.0008551155161087287;Bremsstrahlung > 634.000000
Bremsstrahlung > 3.06;2.3395252824569512;Bremsstrahlung;3.06;>;675.0;164.0;0.0016140052366586666;Bremsstrahlung > 675.000000
Ag Lb <= 3.70;2.228665647772647;Ag Lb;3.70;<=;205.895;142.0;0.00023862092360626974;Ag Lb <= 205.895000
Ag ka > -3.39;2.196077934827304;Ag ka;-3.39;>;3452.0;29.0;0.008152425693626508;Ag ka > 3452.000000
Ag ka > 5.20;2.157919615631009;Ag ka;5.20;>;3269.0;81.0;0.010629292004385782;Ag ka > 3269.000000
Ag ka > -7.93;2.014282593017416;Ag ka;-7.93;>;3377.74;178.0;0.0313889553589064;Ag ka > 3377.740000
Ag ka <= -3.39;1.9144297932704104;Ag ka;-3.39;<=;3452.0;29.0;0.008152425693626508;Ag ka <= 3452.000000
Ag Lb <= 4.33;1.859779114828708;Ag Lb;4.33;<=;195.579;13.0;0.006369212167973259;Ag Lb <= 195.579000
Ag ka <= 5.20;1.6849869328583729;Ag ka;5.20;<=;3269.0;81.0;0.010629292004385782;Ag ka <= 3269.000000
Ag ka <= 10.15;1.2206189918177577;Ag ka;10.15;<=;3290.42;57.0;0.03512551949018494;Ag ka <= 3290.420000
Ag La > -8.20;0.8335797096436223;Ag La;-8.20;>;121.158;157.0;0.015815735856296698;Ag La > 121.158000
Ag compton <= -2.03;0.6185075622983118;Ag compton;-2.03;<=;641.421;251.0;0.0019209363615559916;Ag compton <= 641.421000
Ag compton <= 2.58;0.4209094419306548;Ag compton;2.58;<=;678.211;138.0;0.0009579593968442879;Ag compton <= 678.211000
background > -1.72;0.37528873828995735;background;-1.72;>;14.0;54.0;0.006250835458472936;background > 14.000000
Ag compton > -2.03;0.3694812259766807;Ag compton;-2.03;>;641.421;251.0;0.0019209363615559916;Ag compton > 641.421000
Zn > 1.85;0.3677606613202338;Zn;1.85;>;44.2632;6.0;0.00030899051074806394;Zn > 44.263200
Ag compton <= 3.09;0.36472668778933315;Ag compton;3.09;<=;707.789;40.0;0.0005392134560509021;Ag compton <= 707.789000
Ag compton > 2.58;0.3627830531572722;Ag compton;2.58;>;678.211;138.0;0.0009579593968442879;Ag compton > 678.211000
Ag La > 2.83;0.36031135308885104;Ag La;2.83;>;255.0;58.0;0.0028609384126125903;Ag La > 255.000000
background > 2.38;0.3601182236241025;background;2.38;>;15.0;73.0;0.004027119119462075;background > 15.000000
Ag La > 4.26;0.3598097296525419;Ag La;4.26;>;310.0;38.0;0.004827932698296067;Ag La > 310.000000
background <= 2.73;0.3540666167893135;background;2.73;<=;23.0526;83.0;0.004229954529160196;background <= 23.052600
Ag compton > -2.89;0.35311727649967034;Ag compton;-2.89;>;617.947;174.0;0.00801485647146949;Ag compton > 617.947000
background <= 2.11;0.3491253495288839;background;2.11;<=;16.1053;36.0;0.0011093495565264178;background <= 16.105300
background > 2.11;0.34315437925211517;background;2.11;>;16.1053;36.0;0.0011093495565264178;background > 16.105300
Ag Lb > -6.25;0.3429020888277158;Ag Lb;-6.25;>;89.6842;118.0;0.0008277142342318911;Ag Lb > 89.684200
background <= 2.38;0.3179762185638466;background;2.38;<=;15.0;73.0;0.004027119119462075;background <= 15.000000
Zn > -1.35;0.2693132751786409;Zn;-1.35;>;47.0;261.0;0.006346787413377797;Zn > 47.000000
Ag Lb > 2.77;0.21006014170482873;Ag Lb;2.77;>;179.0;95.0;0.003991629551113984;Ag Lb > 179.000000
Cu <= 2.01;0.20620945386630074;Cu;2.01;<=;36.5263;103.0;0.0011164753089394353;Cu <= 36.526300
Zn <= 1.85;0.2026798068390751;Zn;1.85;<=;44.2632;6.0;0.00030899051074806394;Zn <= 44.263200
Zn <= -1.35;0.2019517079419906;Zn;-1.35;<=;47.0;261.0;0.006346787413377797;Zn <= 47.000000
Zn <= 2.28;0.19909890196134059;Zn;2.28;<=;46.2105;205.0;0.0016259806540328547;Zn <= 46.210500
Cu <= 2.71;0.19784190880694502;Cu;2.71;<=;33.1579;72.0;0.0025936571267828334;Cu <= 33.157900
Ag Lb > 3.70;0.19743113192626704;Ag Lb;3.70;>;205.895;142.0;0.00023862092360626974;Ag Lb > 205.895000
Cu > -2.02;0.1974284080747622;Cu;-2.02;>;34.2105;235.0;0.0012456440969743632;Cu > 34.210500
Zn > -1.89;0.1972893206723707;Zn;-1.89;>;42.7895;7.0;0.001592187243853349;Zn > 42.789500
Cu <= 2.35;0.19518539242016555;Cu;2.35;<=;38.7895;220.0;0.00016356063545908128;Cu <= 38.789500
Cu > 2.35;0.1887037584174499;Cu;2.35;>;38.7895;220.0;0.00016356063545908128;Cu > 38.789500
Cu > 2.01;0.18418535354559085;Cu;2.01;>;36.5263;103.0;0.0011164753089394353;Cu > 36.526300
Fe > 1.63;0.17553266231052111;Fe;1.63;>;19.4737;250.0;0.002498503507289307;Fe > 19.473700
Fe > -1.30;0.12162576357683821;Fe;-1.30;>;16.8947;116.0;0.005584718203573091;Fe > 16.894700
Fe > -1.71;0.0943174413220868;Fe;-1.71;>;16.7368;210.0;0.0011917325628281183;Fe > 16.736800
Fe <= -1.30;0.08410091845361797;Fe;-1.30;<=;16.8947;116.0;0.005584718203573091;Fe <= 16.894700
Ca > 1.99;0.07185287971230557;Ca;1.99;>;36.3684;117.0;0.0030364438532257676;Ca > 36.368400
Fe <= 2.10;0.06668260596635416;Fe;2.10;<=;21.7895;19.0;0.0006899345593858186;Fe <= 21.789500
Fe <= 1.63;0.05674859646257356;Fe;1.63;<=;19.4737;250.0;0.002498503507289307;Fe <= 19.473700
Ca > -1.26;0.0477874554102911;Ca;-1.26;>;34.5263;54.0;0.02464983362251849;Ca > 34.526300
Ca > -1.96;0.036537413473760785;Ca;-1.96;>;39.0526;159.0;0.001944186348186161;Ca > 39.052600
Ca <= -1.26;0.03052132281722896;Ca;-1.26;<=;34.5263;54.0;0.02464983362251849;Ca <= 34.526300
Ca <= 2.47;0.02158241177063197;Ca;2.47;<=;40.6842;164.0;0.0033417096236223465;Ca <= 40.684200
Ca <= 1.99;0.011072360368127575;Ca;1.99;<=;36.3684;117.0;0.0030364438532257676;Ca <= 36.368400
Class_B;0.0;;;;;;;
Class_A;0.0;;;;;;;
