Shap;Permutation;LRC_perturbation;LRC_covariance
Fe ka;Fe ka;Fe ka;Fe ka
Ca ka;Ti ka;Ca ka;Ca ka
Ti ka;Ca ka;Ti ka;Fe kb
Mn;Mn;Mn;Ti ka
Fe kb;Fe kb;Fe kb;Ca kb
K;Si;K;Mn
Si;K;Ti kb;Al
Ca kb;Ca kb;sum Fe;Si
Al;Al;Si;K
sum Fe;sum Fe;Al;sum Fe
background2;Ti kb;Ca kb;Cr
Ti kb;P;Cr;Ti kb
P;Cr;background3;P
Rh L + Ar;background2;P;background1
Fe ka + Ti ka;Cu;background2;Rh L + Ar
Cr;Rh L + Ar;Cu;background2
Cu;Fe ka + Ti ka;Rh L + Ar;background3
background3;background1;background1;Cu
;background3;S;S
S;S;Fe ka + Ti ka;
background1;;;
