Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > -3.67;14.310450087024886;Fe ka;-3.67;>;385.8658863;247.0;0.0016449941880498642;Fe ka > 385.865886
Fe ka <= 4.59;10.71267412020737;Fe ka;4.59;<=;563.19;208.0;0.0026156569389996775;Fe ka <= 563.190000
Fe ka > -2.33;6.545933093835631;Fe ka;-2.33;>;424.2336195;256.0;0.003110759029747001;Fe ka > 424.233619
Fe ka <= 2.31;6.077972767943639;Fe ka;2.31;<=;509.11;222.0;0.0007451994644029902;Fe ka <= 509.110000
Fe kb > -1.34;5.80645631996796;Fe kb;-1.34;>;64.00529582;490.0;3.546886153160678e-05;Fe kb > 64.005296
Fe kb <= 1.69;5.11000623017878;Fe kb;1.69;<=;82.54;177.0;0.0010204220798120112;Fe kb <= 82.540000
Fe kb > -0.85;3.755583145554624;Fe kb;-0.85;>;62.2003286;297.0;0.0013135238298213059;Fe kb > 62.200329
Fe kb <= 0.86;3.0099556925106485;Fe kb;0.86;<=;71.87710947;62.0;0.0017095025966812338;Fe kb <= 71.877109
Mn > -0.47;2.4637982650841646;Mn;-0.47;>;3.049155942;391.0;0.0005453992700250598;Mn > 3.049156
sum Fe > -0.41;1.8931551176361323;sum Fe;-0.41;>;1.558727725;446.0;0.0010656147684166561;sum Fe > 1.558728
Mn <= 0.45;1.6166159669382227;Mn;0.45;<=;4.81;167.0;0.001766072257986362;Mn <= 4.810000
sum Fe <= 0.50;1.2640228585486;sum Fe;0.50;<=;2.525;70.0;0.0005494116076896205;sum Fe <= 2.525000
Ti ka > -0.83;1.0042549937238374;Ti ka;-0.83;>;52.09896814;260.0;0.0010938984268936691;Ti ka > 52.098968
Rh L + Ar > -0.26;0.912370571827459;Rh L + Ar;-0.26;>;9.249429698;455.0;0.00035268473366412145;Rh L + Ar > 9.249430
Ti kb > -0.43;0.8739156291585091;Ti kb;-0.43;>;10.36117628;316.0;0.0009177501030059321;Ti kb > 10.361176
Ti ka > -0.34;0.835029327761937;Ti ka;-0.34;>;56.63454588;354.0;0.0018647274920995938;Ti ka > 56.634546
Mn > -0.33;0.8107445648684848;Mn;-0.33;>;3.314769208;275.0;0.0005158063577412331;Mn > 3.314769
Rh L + Ar <= 0.36;0.7494515864875604;Rh L + Ar;0.36;<=;10.19;220.0;0.0005266151655142215;Rh L + Ar <= 10.190000
Si > -0.45;0.6538417093936162;Si;-0.45;>;12.12996608;241.0;0.00023211461837374658;Si > 12.129966
Ca ka > -0.82;0.5761567344018323;Ca ka;-0.82;>;2.21;181.0;2.4130166893843175e-05;Ca ka > 2.210000
Cu > -0.22;0.49034680383057033;Cu;-0.22;>;1.062564752;388.0;0.0008990701727583372;Cu > 1.062565
sum Fe > -0.26;0.4735337875429694;sum Fe;-0.26;>;1.70718116;451.0;7.4483728209617794e-06;sum Fe > 1.707181
Cr > -0.26;0.4623499838801683;Cr;-0.26;>;1.810134333;348.0;0.0014947668641935863;Cr > 1.810134
Ti kb > -0.23;0.45009750655152136;Ti kb;-0.23;>;10.69504405;472.0;6.877977192584761e-05;Ti kb > 10.695044
Cr <= 0.29;0.43757580213654246;Cr;0.29;<=;2.46;178.0;3.079294589036774e-06;Cr <= 2.460000
Si > -0.25;0.43610259765492787;Si;-0.25;>;12.46232561;403.0;0.0018783594232392176;Si > 12.462326
Ti kb <= 0.47;0.42863571441986975;Ti kb;0.47;<=;12.97088543;376.0;0.0004270827704637714;Ti kb <= 12.970885
Si <= 0.48;0.41125464213542745;Si;0.48;<=;15.00500628;218.0;0.00033890834117134006;Si <= 15.005006
Cu <= 0.25;0.38953508435151657;Cu;0.25;<=;1.443994791;150.0;0.000927314559284742;Cu <= 1.443995
