Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
F1 > -0.71;5.69020215151072;F1;-0.71;>;-0.10774959133447803;51.0;0.0003902174696629457;F1 > -0.107750
F1 > -0.69;4.638057427249771;F1;-0.69;>;0.11086079194034659;97.0;0.0010776026816768924;F1 > 0.110861
F1 <= 0.83;4.4910660597433525;F1;0.83;<=;1.49689370938037;115.0;0.004549084280905058;F1 <= 1.496894
F5 > -0.54;3.8274257544326487;F5;-0.54;>;0.07410722140965562;171.0;0.0003811203879503511;F5 > 0.074107
F5 <= 0.61;2.848265868582414;F5;0.61;<=;1.1019848437123494;78.0;0.0018676331055470508;F5 <= 1.101985
F5 > -0.52;1.4917100406916515;F5;-0.52;>;0.07843407777311504;200.0;0.00014708096474491672;F5 > 0.078434
F2 > -0.45;1.0270350939833954;F2;-0.45;>;0.8051222113309489;193.0;0.0002010904038033945;F2 > 0.805122
F4 > -0.47;0.957554683704809;F4;-0.47;>;0.8133011819470725;206.0;0.0031489287955686063;F4 > 0.813301
F4 > -0.24;0.9198634509553498;F4;-0.24;>;1.0343954234080135;8.0;4.059967661973474e-05;F4 > 1.034395
F3 > -0.43;0.9193178989592516;F3;-0.43;>;0.9609911546961708;181.0;0.0010199747234826417;F3 > 0.960991
F6 > -0.25;0.9075464546964823;F6;-0.25;>;1.0372652763387757;186.0;0.0002771953388586157;F6 > 1.037265
F6 > -0.42;0.8439442709762042;F6;-0.42;>;0.8384059262705313;51.0;0.0005894530712042267;F6 > 0.838406
F3 > -0.23;0.8206769940265366;F3;-0.23;>;1.069705788012117;28.0;8.113983368976396e-05;F3 > 1.069706
F6 > 0.13;0.7896809792977539;F6;0.13;>;1.1543109171777597;69.0;0.0016867416438364757;F6 > 1.154311
F2 > -0.23;0.7681335161037661;F2;-0.23;>;1.1822548190049362;202.0;0.0008252532476427377;F2 > 1.182255
F5 <= 0.24;0.6381670839204316;F5;0.24;<=;0.743186771310985;13.0;0.0014963330214480264;F5 <= 0.743187
F1 <= 0.22;0.5352509394889421;F1;0.22;<=;0.8837545044844024;135.0;0.00245411144034155;F1 <= 0.883755
F3 > 0.14;0.4424033521834819;F3;0.14;>;1.2575323304537975;123.0;0.0008063262352736578;F3 > 1.257532
F2 > 0.17;0.3405413167912387;F2;0.17;>;1.3166123347238265;0.0;0.003973950462766246;F2 > 1.316612
F4 > 0.18;0.33835167892919044;F4;0.18;>;1.4233564676049948;77.0;0.0030351123613317488;F4 > 1.423356
F3 <= 0.44;0.24649271119602922;F3;0.44;<=;1.637507470965764;108.0;0.003327383106117965;F3 <= 1.637507
F2 <= 0.40;0.187369810576015;F2;0.40;<=;1.5369012451396111;104.0;0.002569425386524382;F2 <= 1.536901
F4 <= 0.50;0.15063047592999879;F4;0.50;<=;1.748446584478764;68.0;0.0010520100182351833;F4 <= 1.748447
F6 <= 0.42;0.12574958353827242;F6;0.42;<=;1.5965945160165103;193.0;0.00039653416703372413;F6 <= 1.596595
F2 <= 0.17;0.10947662713929127;F2;0.17;<=;1.3166123347238265;0.0;0.003973950462766246;F2 <= 1.316612
F3 <= 0.14;0.09903734559168678;F3;0.14;<=;1.2575323304537975;123.0;0.0008063262352736578;F3 <= 1.257532
F6 <= 0.13;0.09483412573873845;F6;0.13;<=;1.1543109171777597;69.0;0.0016867416438364757;F6 <= 1.154311
F4 <= -0.24;0.08881245227357762;F4;-0.24;<=;1.0343954234080135;8.0;4.059967661973474e-05;F4 <= 1.034395
F3 <= -0.23;0.08592868944068818;F3;-0.23;<=;1.069705788012117;28.0;8.113983368976396e-05;F3 <= 1.069706
background4 > -0.09;0.07038756673991681;background4;-0.09;>;-0.09026455883410413;161.0;0.0004651800138612827;background4 > -0.090265
background6 <= 0.10;0.06409568342462982;background6;0.10;<=;0.09811567024621384;144.0;8.012146304250956e-05;background6 <= 0.098116
F4 <= 0.18;0.06013100304700021;F4;0.18;<=;1.4233564676049948;77.0;0.0030351123613317488;F4 <= 1.423356
background3 > -0.08;0.058894827473423735;background3;-0.08;>;-0.07901055259519649;154.0;2.8167298088160875e-05;background3 > -0.079011
F6 <= -0.25;0.05795205044539771;F6;-0.25;<=;1.0372652763387757;186.0;0.0002771953388586157;F6 <= 1.037265
background4 > -0.07;0.05371641733432119;background4;-0.07;>;0.07564014065879401;97.0;0.00017662847722668684;background4 > 0.075640
background1 > -0.10;0.0499015390796273;background1;-0.10;>;-0.0950644924047208;78.0;0.0005248134471556726;background1 > -0.095064
F2 <= -0.23;0.033045990905258706;F2;-0.23;<=;1.1822548190049362;202.0;0.0008252532476427377;F2 <= 1.182255
background1 > -0.08;0.03203417797152996;background1;-0.08;>;-0.08039552775221362;199.0;7.909497300673252e-06;background1 > -0.080396
background1 <= 0.08;0.012012624273374092;background1;0.08;<=;0.08051371266221703;138.0;4.088592486387044e-05;background1 <= 0.080514
background6 <= 0.08;0.0020458983467318364;background6;0.08;<=;0.08191383312014985;119.0;5.911761721666409e-05;background6 <= 0.081914
background3 <= 0.09;0.0013783256638914983;background3;0.09;<=;0.09083119606356399;165.0;0.00013008404315136002;background3 <= 0.090831
Class_B;0.0;;;;;;;
Class_A;0.0;;;;;;;
