Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ca ka > -0.36;7.119730798011538;Ca ka;-0.36;>;-0.6412961601123365;49.0;0.0041413887316002485;Ca ka > -0.641296
Fe ka <= -0.43;5.690223977368802;Fe ka;-0.43;<=;-54.40260777789882;14.0;0.0024805523301543175;Fe ka <= -54.402608
Fe ka > -0.43;5.531877991369727;Fe ka;-0.43;>;-54.40260777789882;14.0;0.0024805523301543175;Fe ka > -54.402608
Fe ka <= 2.21;5.485550781957551;Fe ka;2.21;<=;-52.02738279546505;10.0;0.0252689512680222;Fe ka <= -52.027383
Fe ka > 0.86;5.466022805338046;Fe ka;0.86;>;55.59500488298477;114.0;0.0011741437292197565;Fe ka > 55.595005
Ca ka > -1.02;5.431622509136201;Ca ka;-1.02;>;-1.6352669315110882;143.0;0.000757203099233994;Ca ka > -1.635267
Fe ka > -2.66;5.414595223071528;Fe ka;-2.66;>;-16.127618706674088;78.0;0.03646238777444699;Fe ka > -16.127619
Ca ka > -1.73;5.414556945552968;Ca ka;-1.73;>;-2.8062730617879375;140.0;0.001954092204244473;Ca ka > -2.806273
Fe ka <= 0.86;5.390469735403549;Fe ka;0.86;<=;55.59500488298477;114.0;0.0011741437292197565;Fe ka <= 55.595005
Fe ka <= -2.66;4.752586514381446;Fe ka;-2.66;<=;-16.127618706674088;78.0;0.03646238777444699;Fe ka <= -16.127619
Ca ka <= -1.02;4.648054965370419;Ca ka;-1.02;<=;-1.6352669315110882;143.0;0.000757203099233994;Ca ka <= -1.635267
Mn > 0.64;4.642037780158586;Mn;0.64;>;1.2936068069556366;104.0;0.014335926949453959;Mn > 1.293607
Ti ka <= -0.57;4.388662962478463;Ti ka;-0.57;<=;-3.2656066475860395;42.0;0.007224309386449468;Ti ka <= -3.265607
Ti ka > 0.93;4.363610750871364;Ti ka;0.93;>;6.770758229494245;113.0;0.010621122056072463;Ti ka > 6.770758
Mn > -0.15;4.082082906885673;Mn;-0.15;>;-0.3572258050728526;56.0;0.003096181520688135;Mn > -0.357226
Ca ka <= 1.21;3.818380730491549;Ca ka;1.21;<=;2.03406718744581;2.0;0.019671358755504853;Ca ka <= 2.034067
Ti ka <= 0.93;3.3163546824495125;Ti ka;0.93;<=;6.770758229494245;113.0;0.010621122056072463;Ti ka <= 6.770758
Ca ka <= -0.36;3.120224026838288;Ca ka;-0.36;<=;-0.6412961601123365;49.0;0.0041413887316002485;Ca ka <= -0.641296
Ti ka <= 1.88;3.051875028131598;Ti ka;1.88;<=;12.528841379455551;81.0;0.02762388103509439;Ti ka <= 12.528841
Mn > -0.38;2.966139624081397;Mn;-0.38;>;-0.7410635608597471;81.0;0.009562175901591141;Mn > -0.741064
Ti ka > -0.57;2.90391300641776;Ti ka;-0.57;>;-3.2656066475860395;42.0;0.007224309386449468;Ti ka > -3.265607
Ti ka > -1.78;2.8093805860692855;Ti ka;-1.78;>;-11.954433957081815;114.0;0.014249468229877937;Ti ka > -11.954434
Mn > -0.65;2.2456817628213086;Mn;-0.65;>;-1.2971387802801488;34.0;0.0025777000379457737;Mn > -1.297139
Mn <= -0.38;1.8225485834069883;Mn;-0.38;<=;-0.7410635608597471;81.0;0.009562175901591141;Mn <= -0.741064
K > 0.02;1.2492612779023136;K;0.02;>;0.0016847153441331894;19.0;0.0004767108866801477;K > 0.001685
Ti kb <= -0.63;1.129047817536899;Ti kb;-0.63;<=;-1.9571664924725496;26.0;0.0012656326177502564;Ti kb <= -1.957166
Fe kb > 0.40;1.0292864373045085;Fe kb;0.40;>;7.56867080418674;114.0;0.0030542543566614566;Fe kb > 7.568671
Mn <= 0.64;1.0095098323169829;Mn;0.64;<=;1.2936068069556366;104.0;0.014335926949453959;Mn <= 1.293607
Mn <= -0.15;0.9045796052825813;Mn;-0.15;<=;-0.3572258050728526;56.0;0.003096181520688135;Mn <= -0.357226
K <= -0.20;0.9004811990135833;K;-0.20;<=;-0.2636285902362482;126.0;0.000435722727099519;K <= -0.263629
Fe kb <= -0.07;0.8988730923719015;Fe kb;-0.07;<=;-3.2656415443674414;57.0;0.008032026399995312;Fe kb <= -3.265642
K > -0.20;0.8876388403731447;K;-0.20;>;-0.2636285902362482;126.0;0.000435722727099519;K > -0.263629
Fe kb > -0.07;0.8503269671787393;Fe kb;-0.07;>;-3.2656415443674414;57.0;0.008032026399995312;Fe kb > -3.265642
Fe kb <= 0.95;0.8221904918613505;Fe kb;0.95;<=;-7.957199004510352;10.0;0.01579869981491422;Fe kb <= -7.957199
Fe kb <= 0.40;0.8020736796729931;Fe kb;0.40;<=;7.56867080418674;114.0;0.0030542543566614566;Fe kb <= 7.568671
Fe kb > -1.03;0.7928366645805565;Fe kb;-1.03;>;-18.16467997559096;27.0;0.021265842965726423;Fe kb > -18.164680
