Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > 4.25;38.49674701165859;Fe ka;4.25;>;87.0453868816328;38.0;0.0010789997994464784;Fe ka > 87.045387
Fe ka > -5.77;29.47905853788215;Fe ka;-5.77;>;-103.04657895105754;408.0;0.004763396718140633;Fe ka > -103.046579
Fe ka > -9.83;21.23817200689927;Fe ka;-9.83;>;-178.95297536586634;247.0;0.001730907184954944;Fe ka > -178.952975
Fe ka <= 11.65;13.975613619872371;Fe ka;11.65;<=;188.78650221401608;94.0;0.001158442764713996;Fe ka <= 188.786502
Fe ka <= 4.25;7.912466263225951;Fe ka;4.25;<=;87.0453868816328;38.0;0.0010789997994464784;Fe ka <= 87.045387
Fe ka <= -5.77;2.839825030747614;Fe ka;-5.77;<=;-103.04657895105754;408.0;0.004763396718140633;Fe ka <= -103.046579
Fe kb > -2.08;1.8652526532753881;Fe kb;-2.08;>;-13.041087943859765;405.0;0.00017172530202236302;Fe kb > -13.041088
Fe kb > -3.67;1.6382624433914685;Fe kb;-3.67;>;-25.19416802083603;311.0;0.0018423701153165162;Fe kb > -25.194168
Ca ka > -0.35;1.6236885502761402;Ca ka;-0.35;>;-0.603727365337436;107.0;0.004659354829044116;Ca ka > -0.603727
Fe kb > 1.44;1.602823515238947;Fe kb;1.44;>;8.701135138862327;202.0;0.0021945242928167463;Fe kb > 8.701135
background1 <= -0.15;1.6006448853204724;background1;-0.15;<=;-0.13851797382387673;459.0;0.00025489138175929793;background1 <= -0.138518
Ti ka <= -0.55;1.3197627739926066;Ti ka;-0.55;<=;-1.7345456752534005;359.0;0.00461242771298076;Ti ka <= -1.734546
Fe kb <= 4.31;1.0393791814191946;Fe kb;4.31;<=;30.906551916957227;219.0;0.0021489773700462678;Fe kb <= 30.906552
background2 <= -0.12;0.9700977438382532;background2;-0.12;<=;-0.07212742153952106;193.0;0.0006311927805605078;background2 <= -0.072127
Fe kb <= 1.44;0.9555496803869457;Fe kb;1.44;<=;8.701135138862327;202.0;0.0021945242928167463;Fe kb <= 8.701135
Ca ka > -1.23;0.9497953122278237;Ca ka;-1.23;>;-2.1717944945843985;176.0;0.00018333887257093728;Ca ka > -2.171794
background1 <= 0.48;0.8950402665937207;background1;0.48;<=;0.4077628140349009;249.0;0.0010984183925343283;background1 <= 0.407763
Ca ka > -1.89;0.8369149163207671;Ca ka;-1.89;>;-3.18132501270129;275.0;0.0007309831903119512;Ca ka > -3.181325
background1 <= 0.08;0.8121428326972526;background1;0.08;<=;0.06329291827842118;442.0;0.0013527718482868184;background1 <= 0.063293
Ti ka <= 0.61;0.7588914752458894;Ti ka;0.61;<=;4.748205218535219;452.0;0.00027935039807613915;Ti ka <= 4.748205
Ti ka <= 1.87;0.6928721923540202;Ti ka;1.87;<=;12.579804118748342;397.0;0.0015466032120516893;Ti ka <= 12.579804
Fe kb <= -2.08;0.5951924663603045;Fe kb;-2.08;<=;-13.041087943859765;405.0;0.00017172530202236302;Fe kb <= -13.041088
background1 > 0.08;0.5642774826158337;background1;0.08;>;0.06329291827842118;442.0;0.0013527718482868184;background1 > 0.063293
background2 <= 0.35;0.5295353914119839;background2;0.35;<=;0.2429466238226551;333.0;0.00117944208815568;background2 <= 0.242947
background2 <= 0.08;0.5292653896991681;background2;0.08;<=;0.05924219002219026;209.0;0.0014461773872886247;background2 <= 0.059242
Zn <= -0.08;0.4971158174662703;Zn;-0.08;<=;-0.07753811309453074;384.0;2.49317878846661e-05;Zn <= -0.077538
Cu > 0.18;0.48270735735186077;Cu;0.18;>;0.19541636873883528;22.0;0.0016749927165316258;Cu > 0.195416
Si > 0.21;0.47434613099105016;Si;0.21;>;1.0110274266135981;498.0;0.0006026136629395662;Si > 1.011027
Ti ka > -1.99;0.45240926153115285;Ti ka;-1.99;>;-11.457269112520379;270.0;0.0030973185980496254;Ti ka > -11.457269
background1 > -0.46;0.43931996667336487;background1;-0.46;>;-0.38062985970301966;241.0;0.000670170997064734;background1 > -0.380630
Zn > 0.10;0.43536854638138456;Zn;0.10;>;0.08459725278901242;428.0;0.0016778968260589;Zn > 0.084597
background1 > -0.15;0.4119354476181468;background1;-0.15;>;-0.13851797382387673;459.0;0.00025489138175929793;background1 > -0.138518
background2 > 0.08;0.3964239858939322;background2;0.08;>;0.05924219002219026;209.0;0.0014461773872886247;background2 > 0.059242
