Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ag La <= 2.70;5.762043696459546;Ag La;2.70;<=;34.935039484326694;86.0;0.021418286605097592;Ag La <= 34.935039
Ag La <= 7.76;4.52891507709562;Ag La;7.76;<=;105.8148860757533;78.0;0.0029629235412862442;Ag La <= 105.814886
Ag Lb <= 2.36;3.706878662399947;Ag Lb;2.36;<=;30.578161867946505;0.0;0.008012762675194018;Ag Lb <= 30.578162
Ag La <= 9.01;2.963346482522972;Ag La;9.01;<=;126.90360743382223;239.0;0.004800526372449099;Ag La <= 126.903607
Ag ka <= -7.06;2.027355611193784;Ag ka;-7.06;<=;-250.573937055118;70.0;0.012823896618622932;Ag ka <= -250.573937
Ag ka > -11.59;1.9000135519877257;Ag ka;-11.59;>;-489.01057540288787;105.0;0.047686324588166684;Ag ka > -489.010575
Ag ka <= 20.95;1.7654257551066983;Ag ka;20.95;<=;815.8725816964694;48.0;0.07223845950692365;Ag ka <= 815.872582
Ag ka > 5.37;1.7602399737905396;Ag ka;5.37;>;237.87070756307756;139.0;0.0024089099200841346;Ag ka > 237.870708
Ag ka > -7.06;1.7241025371638983;Ag ka;-7.06;>;-250.573937055118;70.0;0.012823896618622932;Ag ka > -250.573937
Ag Lb <= 6.48;1.722987835269253;Ag Lb;6.48;<=;75.49644981449643;98.0;0.013049628842000338;Ag Lb <= 75.496450
Ag ka <= 5.37;1.686312500790244;Ag ka;5.37;<=;237.87070756307756;139.0;0.0024089099200841346;Ag ka <= 237.870708
Ag Lb <= 8.04;1.6486696134135976;Ag Lb;8.04;<=;90.9756516158937;20.0;0.008902278824001186;Ag Lb <= 90.975652
Bremsstrahlung <= 9.64;1.5568935936427126;Bremsstrahlung;9.64;<=;198.57564012239467;82.0;0.011684949302992464;Bremsstrahlung <= 198.575640
Bremsstrahlung <= -1.54;1.5482692996792036;Bremsstrahlung;-1.54;<=;-72.07916823575721;60.0;0.037183896407487094;Bremsstrahlung <= -72.079168
Ag La > -18.52;1.5466330067334737;Ag La;-18.52;>;-258.4477998387841;161.0;0.01170501837605542;Ag La > -258.447800
Bremsstrahlung <= 4.15;1.5318521466442099;Bremsstrahlung;4.15;<=;83.6777418516451;106.0;0.010263855528465093;Bremsstrahlung <= 83.677742
Bremsstrahlung > -9.06;1.4846970100061536;Bremsstrahlung;-9.06;>;-170.55833192945536;125.0;0.0008367000031874738;Bremsstrahlung > -170.558332
Bremsstrahlung > -1.54;1.4718538351377182;Bremsstrahlung;-1.54;>;-72.07916823575721;60.0;0.037183896407487094;Bremsstrahlung > -72.079168
Bremsstrahlung > 4.15;1.389628933721718;Bremsstrahlung;4.15;>;83.6777418516451;106.0;0.010263855528465093;Bremsstrahlung > 83.677742
Ag La > 7.76;1.3289876158407496;Ag La;7.76;>;105.8148860757533;78.0;0.0029629235412862442;Ag La > 105.814886
Ag La > 2.70;1.068529058162531;Ag La;2.70;>;34.935039484326694;86.0;0.021418286605097592;Ag La > 34.935039
Ag compton <= -1.09;0.865728921008956;Ag compton;-1.09;<=;-26.815762054746568;75.0;0.015426775365999346;Ag compton <= -26.815762
Ag compton > 2.96;0.7859956916339649;Ag compton;2.96;>;74.3947005834142;207.0;0.010136869954575634;Ag compton > 74.394701
Ag Lb > -15.87;0.7345693135095708;Ag Lb;-15.87;>;-194.32699493561734;146.0;0.11032869035353876;Ag Lb > -194.326995
Ag compton <= 2.96;0.6022859358314988;Ag compton;2.96;<=;74.3947005834142;207.0;0.010136869954575634;Ag compton <= 74.394701
Ag compton <= 6.52;0.5546506182449121;Ag compton;6.52;<=;158.1834683584534;100.0;0.030141366695601413;Ag compton <= 158.183468
Ag compton > -1.09;0.5045460997830183;Ag compton;-1.09;>;-26.815762054746568;75.0;0.015426775365999346;Ag compton > -26.815762
Ag compton > -6.71;0.4523231799663438;Ag compton;-6.71;>;-167.5778598383517;39.0;0.0755241618071949;Ag compton > -167.577860
Ag Lb > 6.48;0.4017523538206199;Ag Lb;6.48;>;75.49644981449643;98.0;0.013049628842000338;Ag Lb > 75.496450
Ag Lb > 2.36;0.25770710138543923;Ag Lb;2.36;>;30.578161867946505;0.0;0.008012762675194018;Ag Lb > 30.578162
Zn > 0.56;0.0955057221129127;Zn;0.56;>;5.069906061306999;142.0;0.00047560737980190115;Zn > 5.069906
Zn > -1.47;0.08896977867624783;Zn;-1.47;>;-11.950024642615231;222.0;0.011054998962712004;Zn > -11.950025
Zn <= -0.39;0.08312104270288297;Zn;-0.39;<=;0.5654668383858351;210.0;0.0024953563782162957;Zn <= 0.565467
Zn > -0.39;0.081193532414467;Zn;-0.39;>;0.5654668383858351;210.0;0.0024953563782162957;Zn > 0.565467
Zn <= 0.56;0.0792851846144086;Zn;0.56;<=;5.069906061306999;142.0;0.00047560737980190115;Zn <= 5.069906
Zn <= 1.56;0.06887673856886209;Zn;1.56;<=;7.363036367389337;75.0;0.013925476525882052;Zn <= 7.363036
Fe > 0.31;0.056913612362107534;Fe;0.31;>;3.353626138321669;32.0;0.003765128930834749;Fe > 3.353626
Fe > -0.36;0.04912686854514779;Fe;-0.36;>;0.7191163726716319;9.0;0.0011980734203326238;Fe > 0.719116
Fe > -1.18;0.0387732794203504;Fe;-1.18;>;-4.817989609014024;110.0;0.04507887091711793;Fe > -4.817990
Fe <= 0.31;0.03278334443270565;Fe;0.31;<=;3.353626138321669;32.0;0.003765128930834749;Fe <= 3.353626
Fe <= 1.20;0.02728565855012656;Fe;1.20;<=;2.8910917025547143;80.0;0.0016484365887576846;Fe <= 2.891092
Fe <= -0.36;0.025673193815835237;Fe;-0.36;<=;0.7191163726716319;9.0;0.0011980734203326238;Fe <= 0.719116
Ca > 0.46;0.015623224370787947;Ca;0.46;>;3.5310237106826037;28.0;0.010825949448287353;Ca > 3.531024
Ca > -0.68;0.013685045219962135;Ca;-0.68;>;-8.742469777105285;9.0;0.004755175089398045;Ca > -8.742470
Ca <= -0.68;0.012520971635165995;Ca;-0.68;<=;-8.742469777105285;9.0;0.004755175089398045;Ca <= -8.742470
Ca > -1.79;0.011184942606148118;Ca;-1.79;>;-9.48385584379902;153.0;0.012408522947164213;Ca > -9.483856
Cu <= 0.32;0.011015112822543662;Cu;0.32;<=;0.8084919527895379;46.0;0.007032307528951842;Cu <= 0.808492
Cu > -1.74;0.010009196207889454;Cu;-1.74;>;-4.731903911888874;53.0;0.007330345152780193;Cu > -4.731904
Cu <= 1.92;0.009850465665950627;Cu;1.92;<=;8.991687116107627;121.0;0.02026252116212457;Cu <= 8.991687
Cu > -0.64;0.009389315007258592;Cu;-0.64;>;-1.4354982852014304;17.0;4.247821877800817e-05;Cu > -1.435498
Cu <= -0.64;0.009357441485238031;Cu;-0.64;<=;-1.4354982852014304;17.0;4.247821877800817e-05;Cu <= -1.435498
Cu > 0.32;0.00896684929084298;Cu;0.32;>;0.8084919527895379;46.0;0.007032307528951842;Cu > 0.808492
background > 0.40;0.00756388589137316;background;0.40;>;4.852292955544042;186.0;0.003286762845529201;background > 4.852293
background <= 0.40;0.0071363213615910845;background;0.40;<=;4.852292955544042;186.0;0.003286762845529201;background <= 4.852293
background > -0.46;0.006955159201174114;background;-0.46;>;11.2665058740081;83.0;0.0027003758268662192;background > 11.266506
background <= -0.46;0.006821238787084436;background;-0.46;<=;11.2665058740081;83.0;0.0027003758268662192;background <= 11.266506
background <= 1.29;0.006816021269490807;background;1.29;<=;-2.673204274262481;103.0;0.000910009241718468;background <= -2.673204
background > -1.23;0.0068023557797229;background;-1.23;>;1.2422442831635723;67.0;0.007894383994145215;background > 1.242244
Ca <= 0.46;0.005171190446157855;Ca;0.46;<=;3.5310237106826037;28.0;0.010825949448287353;Ca <= 3.531024
Ca <= 1.81;0.0025525652221457364;Ca;1.81;<=;-2.575534228929598;222.0;0.044016191411784256;Ca <= -2.575534
Class_B;0.0;;;;;;;
Class_A;0.0;;;;;;;
