Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ca ka > -0.36;9.738977346501157;Ca ka;-0.36;>;-0.6412961601123365;49.0;0.0041413887316002485;Ca ka > -0.641296
Mn > 0.64;8.149500363810077;Mn;0.64;>;1.2936068069556366;104.0;0.014335926949453959;Mn > 1.293607
Ca ka > -1.02;6.401255080902432;Ca ka;-1.02;>;-1.6352669315110882;143.0;0.000757203099233994;Ca ka > -1.635267
Ca ka > -1.73;5.019359813863019;Ca ka;-1.73;>;-2.8062730617879375;140.0;0.001954092204244473;Ca ka > -2.806273
Mn > -0.15;4.895011066731523;Mn;-0.15;>;-0.3572258050728526;56.0;0.003096181520688135;Mn > -0.357226
Si > 0.13;3.8277135705911802;Si;0.13;>;0.3010256789296193;126.0;0.0025855372145600075;Si > 0.301026
Si <= -0.66;3.4261751261773816;Si;-0.66;<=;-2.1248918569066433;130.0;0.003022556711248181;Si <= -2.124892
Mn > -0.38;3.3588380486833884;Mn;-0.38;>;-0.7410635608597471;81.0;0.009562175901591141;Mn > -0.741064
Ca ka <= -1.02;3.236313442768568;Ca ka;-1.02;<=;-1.6352669315110882;143.0;0.000757203099233994;Ca ka <= -1.635267
Si <= -0.20;2.9798597350692515;Si;-0.20;<=;-0.15872939255057616;122.0;0.00020185527359861677;Si <= -0.158729
Fe ka <= -2.66;2.928574627099284;Fe ka;-2.66;<=;-16.127618706674088;78.0;0.03646238777444699;Fe ka <= -16.127619
Mn > -0.65;2.685422542592064;Mn;-0.65;>;-1.2971387802801488;34.0;0.0025777000379457737;Mn > -1.297139
Fe ka <= -0.43;2.5039028901390994;Fe ka;-0.43;<=;-54.40260777789882;14.0;0.0024805523301543175;Fe ka <= -54.402608
Ca ka <= 1.21;2.489516977033374;Ca ka;1.21;<=;2.03406718744581;2.0;0.019671358755504853;Ca ka <= 2.034067
Si > -0.66;2.4879665592589926;Si;-0.66;>;-2.1248918569066433;130.0;0.003022556711248181;Si > -2.124892
Si <= 0.13;2.449493522181378;Si;0.13;<=;0.3010256789296193;126.0;0.0025855372145600075;Si <= 0.301026
Fe ka > -0.43;2.404291956821459;Fe ka;-0.43;>;-54.40260777789882;14.0;0.0024805523301543175;Fe ka > -54.402608
Si > -0.20;2.3985094180593753;Si;-0.20;>;-0.15872939255057616;122.0;0.00020185527359861677;Si > -0.158729
Si <= 0.69;2.34165557032722;Si;0.69;<=;2.26936798111927;40.0;0.011785932150687461;Si <= 2.269368
Fe ka > 0.86;2.3282173240926154;Fe ka;0.86;>;55.59500488298477;114.0;0.0011741437292197565;Fe ka > 55.595005
Fe ka <= 0.86;2.326893973261701;Fe ka;0.86;<=;55.59500488298477;114.0;0.0011741437292197565;Fe ka <= 55.595005
Fe ka <= 2.21;2.3224631664410817;Fe ka;2.21;<=;-52.02738279546505;10.0;0.0252689512680222;Fe ka <= -52.027383
Fe ka > -2.66;2.3109833788939307;Fe ka;-2.66;>;-16.127618706674088;78.0;0.03646238777444699;Fe ka > -16.127619
Ca ka <= -0.36;2.244542538126872;Ca ka;-0.36;<=;-0.6412961601123365;49.0;0.0041413887316002485;Ca ka <= -0.641296
Mn <= -0.38;2.1904171588969628;Mn;-0.38;<=;-0.7410635608597471;81.0;0.009562175901591141;Mn <= -0.741064
Mn <= 0.64;1.5454377786268094;Mn;0.64;<=;1.2936068069556366;104.0;0.014335926949453959;Mn <= 1.293607
Mn <= -0.15;0.7989992880626957;Mn;-0.15;<=;-0.3572258050728526;56.0;0.003096181520688135;Mn <= -0.357226
Ti ka > 0.93;0.7301392806139896;Ti ka;0.93;>;6.770758229494245;113.0;0.010621122056072463;Ti ka > 6.770758
Ti ka > -0.57;0.6886531587997312;Ti ka;-0.57;>;-3.2656066475860395;42.0;0.007224309386449468;Ti ka > -3.265607
Ti ka <= 1.88;0.6185431415735354;Ti ka;1.88;<=;12.528841379455551;81.0;0.02762388103509439;Ti ka <= 12.528841
Ti ka <= 0.93;0.6136008013903529;Ti ka;0.93;<=;6.770758229494245;113.0;0.010621122056072463;Ti ka <= 6.770758
Ti ka <= -0.57;0.5842734589034076;Ti ka;-0.57;<=;-3.2656066475860395;42.0;0.007224309386449468;Ti ka <= -3.265607
Ti ka > -1.78;0.5352952359294839;Ti ka;-1.78;>;-11.954433957081815;114.0;0.014249468229877937;Ti ka > -11.954434
Fe kb <= -0.07;0.39842232424904267;Fe kb;-0.07;<=;-3.2656415443674414;57.0;0.008032026399995312;Fe kb <= -3.265642
Fe kb <= 0.95;0.3716350372797048;Fe kb;0.95;<=;-7.957199004510352;10.0;0.01579869981491422;Fe kb <= -7.957199
Fe kb > -1.03;0.3694055394521195;Fe kb;-1.03;>;-18.16467997559096;27.0;0.021265842965726423;Fe kb > -18.164680
K > 0.02;0.36705897972455054;K;0.02;>;0.0016847153441331894;19.0;0.0004767108866801477;K > 0.001685
Al <= -0.09;0.34707409237636955;Al;-0.09;<=;-0.245647940033774;136.0;0.00025726212648748137;Al <= -0.245648
Fe kb > 0.40;0.3397657037115693;Fe kb;0.40;>;7.56867080418674;114.0;0.0030542543566614566;Fe kb > 7.568671
Fe kb > -0.07;0.31776422701510637;Fe kb;-0.07;>;-3.2656415443674414;57.0;0.008032026399995312;Fe kb > -3.265642
Fe kb <= 0.40;0.31463432059868546;Fe kb;0.40;<=;7.56867080418674;114.0;0.0030542543566614566;Fe kb <= 7.568671
Ca kb > -0.04;0.30930300998927274;Ca kb;-0.04;>;-0.039458301493873374;68.0;0.0035300393284888112;Ca kb > -0.039458
K > -0.20;0.2672638945658296;K;-0.20;>;-0.2636285902362482;126.0;0.000435722727099519;K > -0.263629
background2 <= -0.29;0.24380281936910317;background2;-0.29;<=;-0.25497142345386775;16.0;0.0005873698022312857;background2 <= -0.254971
K > -0.38;0.2309885818609546;K;-0.38;>;-0.4707731824512983;90.0;0.0008190235808471225;K > -0.470773
Fe kb <= -1.03;0.20976176773482355;Fe kb;-1.03;<=;-18.16467997559096;27.0;0.021265842965726423;Fe kb <= -18.164680
Al > 0.16;0.20106570865701573;Al;0.16;>;0.46925811763356134;113.0;0.0011915735565727614;Al > 0.469258
Ca kb > -0.23;0.18728018530230323;Ca kb;-0.23;>;-0.25102151180973414;15.0;0.001045772268542522;Ca kb > -0.251022
K <= -0.20;0.18570144653268997;K;-0.20;<=;-0.2636285902362482;126.0;0.000435722727099519;K <= -0.263629
background3 <= -0.17;0.179244558898291;background3;-0.17;<=;-0.14150590480982575;63.0;0.0002488059233177742;background3 <= -0.141506
