VIP_Score;Reg_Coefficient;Permutation;LRC_perturbation;LRC_covariance
2101.542978;2101.542978;1351.542978;2101.542978;1501.542978
1351.542978;1351.542978;1451.542978;1451.542978;1751.542978
1401.542978;1401.542978;1401.542978;1401.542978;1801.542978
1451.542978;1451.542978;2101.542978;1351.542978;1551.542978
2051.542978;2051.542978;1501.542978;2051.542978;1951.542978
1501.542978;1501.542978;2051.542978;1501.542978;1401.542978
1551.542978;2001.542978;1551.542978;2001.542978;1701.542978
2001.542978;1551.542978;2001.542978;1551.542978;1601.542978
1601.542978;1601.542978;1601.542978;1601.542978;1851.542978
1651.542978;1951.542978;1951.542978;1951.542978;1651.542978
1951.542978;1651.542978;1651.542978;1901.542978;2001.542978
1701.542978;1901.542978;1901.542978;1651.542978;1451.542978
1801.542978;1851.542978;1851.542978;1851.542978;2101.542978
1851.542978;1801.542978;1801.542978;1801.542978;1351.542978
1751.542978;1701.542978;1701.542978;1701.542978;2051.542978
1901.542978;1751.542978;1751.542978;1751.542978;1901.542978
;;;;
