VIP_Score;Reg_Coefficient;Permutation;LRC_perturbation;LRC_covariance
700;700;700;700;1600
500;600;600;1600;2000
400;800;500;1500;1700
600;500;1500;600;2100
800;1400;800;1400;1900
900;1300;1600;1300;1500
1000;1500;1400;1700;1800
2400;1600;1300;800;2300
2300;900;1700;2400;1400
2200;1000;2400;500;1300
1400;1700;1800;1800;1200
1500;2400;400;900;2400
1300;1200;1200;1200;2200
1600;1800;900;1000;1100
1900;400;1000;2300;400
1100;2200;2200;1900;1000
1700;2100;2100;2200;500
1800;1100;2300;400;600
2100;2300;1100;2100;900
2000;1900;1900;1100;700
1200;2000;2000;2000;800
;;;;
