Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
F1 > -2.47;7.8827721536206;F1;-2.47;>;-2.469279690201194;70.0;0.0007203097988073281;F1 > -2.469280
F1 > -2.43;6.058890405602781;F1;-2.43;>;-2.4302717918594205;18.0;0.0002717918594203894;F1 > -2.430272
F5 > -1.83;4.740744181525166;F5;-1.83;>;-1.830282528686325;186.0;0.00028252868632261396;F5 > -1.830283
F1 <= 2.88;3.6523896923653587;F1;2.88;<=;2.877524685562338;163.0;0.0024753144376608027;F1 <= 2.877525
F5 <= 2.10;2.387369600741152;F5;2.10;<=;2.099612182484984;76.0;0.0003878175150173746;F5 <= 2.099612
F5 > -1.79;1.2141633145503996;F5;-1.79;>;-1.7893030447360732;178.0;0.0006969552639282117;F5 > -1.789303
F4 > -1.63;1.1287075221742995;F4;-1.63;>;-1.6314394344332714;56.0;0.001439434433271547;F4 > -1.631439
F6 > -1.37;0.9710945391658289;F6;-1.37;>;-1.370059963016235;175.0;5.996301623545364e-05;F6 > -1.370060
F4 > -0.67;0.9245862894647459;F4;-0.67;>;-0.6693820240864409;42.0;0.0006179759135584995;F4 > -0.669382
F3 > -1.46;0.923315608431043;F3;-1.46;>;-1.4601111472971098;64.0;0.00011114729710914872;F3 > -1.460111
F2 > -0.54;0.8985363823703438;F2;-0.54;>;-0.5397182313341011;77.0;0.00028176866589846306;F2 > -0.539718
F6 > 0.11;0.8735225801154665;F6;0.11;>;0.10912815703409585;112.0;0.0008718429659038823;F6 > 0.109128
F2 > -1.57;0.8537138608349248;F2;-1.57;>;-1.5674764883322962;193.0;0.002523511667703371;F2 > -1.567476
F3 > -0.44;0.8306113527852986;F3;-0.44;>;-0.4400067962233734;87.0;6.7962233726848176e-06;F3 > -0.440007
F6 > -0.58;0.7867929905549376;F6;-0.58;>;-0.5791141824948304;144.0;0.0008858175051693618;F6 > -0.579114
F5 <= 0.75;0.6114243997839749;F5;0.75;<=;0.7514827277200309;52.0;0.0014827277200312183;F5 <= 0.751483
F1 > 0.67;0.47301461495802544;F1;0.67;>;0.6748145005323758;174.0;0.004814500532375754;F1 > 0.674815
F2 > 0.21;0.3988455649913821;F2;0.21;>;0.21265160537059297;53.0;0.002651605370593224;F2 > 0.212652
F1 <= 0.67;0.3822919171911109;F1;0.67;<=;0.6748145005323758;174.0;0.004814500532375754;F1 <= 0.674815
F3 > 0.27;0.3464312494262931;F3;0.27;>;0.2711046521631279;58.0;0.0011046521631276618;F3 > 0.271105
F2 <= 1.43;0.3441373580008059;F2;1.43;<=;1.4310258347933527;104.0;0.001025834793352498;F2 <= 1.431026
F3 <= 1.39;0.34359352622914624;F3;1.39;<=;1.390245037253564;157.0;0.00024503725356361805;F3 <= 1.390245
F4 > 0.28;0.3227211490191705;F4;0.28;>;0.28209833545195373;26.0;0.0020983354519531483;F4 > 0.282098
F4 <= 1.58;0.2816598728913112;F4;1.58;<=;1.5822856296685552;194.0;0.002285629668555389;F4 <= 1.582286
F6 <= 1.18;0.24615940372568546;F6;1.18;<=;1.1808510984856542;44.0;0.0008510984856540116;F6 <= 1.180851
F6 <= -1.37;0.15072879212601073;F6;-1.37;<=;-1.370059963016235;175.0;5.996301623545364e-05;F6 <= -1.370060
F6 <= 0.11;0.1399240880053248;F6;0.11;<=;0.10912815703409585;112.0;0.0008718429659038823;F6 <= 0.109128
F5 > 0.75;0.09152798110015632;F5;0.75;>;0.7514827277200309;52.0;0.0014827277200312183;F5 > 0.751483
F3 <= 0.27;0.08286423653006326;F3;0.27;<=;0.2711046521631279;58.0;0.0011046521631276618;F3 <= 0.271105
F6 > 1.18;0.0715825577949218;F6;1.18;>;1.1808510984856542;44.0;0.0008510984856540116;F6 > 1.180851
F6 <= -0.58;0.06819275892856605;F6;-0.58;<=;-0.5791141824948304;144.0;0.0008858175051693618;F6 <= -0.579114
F3 <= -0.44;0.06706060926872007;F3;-0.44;<=;-0.4400067962233734;87.0;6.7962233726848176e-06;F3 <= -0.440007
F2 <= 0.21;0.06591251354029462;F2;0.21;<=;0.21265160537059297;53.0;0.002651605370593224;F2 <= 0.212652
F4 <= -0.67;0.062714099824702;F4;-0.67;<=;-0.6693820240864409;42.0;0.0006179759135584995;F4 <= -0.669382
F2 <= -0.54;0.052086989777743356;F2;-0.54;<=;-0.5397182313341011;77.0;0.00028176866589846306;F2 <= -0.539718
F4 <= 0.28;0.05128263423752165;F4;0.28;<=;0.28209833545195373;26.0;0.0020983354519531483;F4 <= 0.282098
background4 > -0.05;0.03716118970909076;background4;-0.05;>;-0.0500543574627998;197.0;5.435746279985887e-05;background4 > -0.050054
background4 > -0.03;0.03261355260593904;background4;-0.03;>;-0.029654599390620043;61.0;0.00034540060937994846;background4 > -0.029655
background5 > 0.00;0.007898590432949246;background5;0.00;>;-0.0006636292739979748;150.0;0.0006636292739978091;background5 > -0.000664
background4 > 0.00;0.0028918682709836926;background4;0.00;>;-0.00019876147959808237;4.0;0.00019876147959819492;background4 > -0.000199
background5 > -0.04;7.225562021744578e-05;background5;-0.04;>;-0.039783786690186285;30.0;0.00021621330981349413;background5 > -0.039784
Class_B;0.0;;;;;;;
Class_A;0.0;;;;;;;
