SVM_pvector;Shap;Permutation;LRC_perturbation;LRC_covariance
Fe ka;Ti ka;Fe ka;Ti ka;Fe ka
Ti ka;Ca ka;Ti ka;Ca ka;Ca ka
Cu ka;Fe ka;Ca ka;Cu ka;Fe kb
Ag ka scattering;Cu ka;Cu ka;Ag ka scattering;Ti ka
Fe kb;Ti kb;Ti kb;Ti kb;Ca kb
Ti kb;Ag ka scattering;Fe kb;background3;Cu ka
Ca ka;Ca kb;Ag ka scattering;Fe kb;Ti kb
Cu kb;background2;Ca kb;Fe ka;Cu kb
background3;background1;background3;Ca kb;Ag ka scattering
Ca kb;background3;Cu kb;Cu kb;background3
background1;Fe kb;background1;background1;Zn ka
Zn ka;Cu kb;Ar ka + Ag L;Ar ka + Ag L;background1
Ar ka + Ag L;Zn kb;Zn ka;Zn ka;background2
;Ar ka + Ag L;background2;Zn kb;Ar ka + Ag L
background2;Zn ka;Zn kb;background2;Zn kb
Zn kb;;;;
