Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Si > -0.72;22.750431394103053;Si;-0.72;>;-2.0870435188728536;129.0;0.038926204739391124;Si > -2.087044
Si > -1.67;16.06117946138534;Si;-1.67;>;-4.200921971374994;133.0;0.023526701651313875;Si > -4.200922
Si > -2.51;12.145635089168575;Si;-2.51;>;-6.726366570294855;45.0;0.014243412985784687;Si > -6.726367
Ca ka <= -1.50;9.047055000928168;Ca ka;-1.50;<=;-9.476438845769692;94.0;0.08308610644550707;Ca ka <= -9.476439
Ca ka <= 1.77;6.526871482872459;Ca ka;1.77;<=;11.953266047042456;82.0;0.013408141473519208;Ca ka <= 11.953266
Ca ka <= 3.95;5.096062571747358;Ca ka;3.95;<=;24.763583327192777;89.0;0.045885137807916365;Ca ka <= 24.763583
Si <= 3.71;4.163718306653836;Si;3.71;<=;9.803450679115983;38.0;0.0020019287335877323;Si <= 9.803451
Fe ka > -2.26;3.710399093367182;Fe ka;-2.26;>;-8.58546050097711;77.0;0.009247464592413213;Fe ka > -8.585461
Fe ka > -3.05;2.6670633487947866;Fe ka;-3.05;>;-11.993966880702649;102.0;0.012499393223803779;Fe ka > -11.993967
Fe ka > -3.74;1.5172104386672642;Fe ka;-3.74;>;-14.394181251840102;68.0;0.017161956303946457;Fe ka > -14.394181
Ca ka > -4.65;1.0265099366577126;Ca ka;-4.65;>;-28.611834952528667;28.0;0.009804402998741857;Ca ka > -28.611835
K > 2.15;0.882055143957568;K;2.15;>;20.676485296774782;90.0;0.022977462102160562;K > 20.676485
Si <= -1.67;0.8342822663245555;Si;-1.67;<=;-4.200921971374994;133.0;0.023526701651313875;Si <= -4.200922
Ca ka > 1.77;0.7468223674187198;Ca ka;1.77;>;11.953266047042456;82.0;0.013408141473519208;Ca ka > 11.953266
K > -1.46;0.7431628215617498;K;-1.46;>;-12.506148277232192;111.0;0.014009806674556424;K > -12.506148
