Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ag La <= 2.70;6.6877193572585565;Ag La;2.70;<=;34.935039484326694;86.0;0.021418286605097592;Ag La <= 34.935039
Ag Lb <= 2.36;5.267929334049545;Ag Lb;2.36;<=;30.578161867946505;0.0;0.008012762675194018;Ag Lb <= 30.578162
Ag La <= 7.76;4.210716218381286;Ag La;7.76;<=;105.8148860757533;78.0;0.0029629235412862442;Ag La <= 105.814886
Ag La <= 9.01;3.130527768906826;Ag La;9.01;<=;126.90360743382223;239.0;0.004800526372449099;Ag La <= 126.903607
Ag Lb <= 6.48;2.141540170477555;Ag Lb;6.48;<=;75.49644981449643;98.0;0.013049628842000338;Ag Lb <= 75.496450
Ag Lb <= 8.04;1.5792636683669514;Ag Lb;8.04;<=;90.9756516158937;20.0;0.008902278824001186;Ag Lb <= 90.975652
Bremsstrahlung <= -1.54;1.552833697131116;Bremsstrahlung;-1.54;<=;-72.07916823575721;60.0;0.037183896407487094;Bremsstrahlung <= -72.079168
Ag ka <= -7.06;1.5477978918956947;Ag ka;-7.06;<=;-250.573937055118;70.0;0.012823896618622932;Ag ka <= -250.573937
Ag ka <= 5.37;1.388299082283935;Ag ka;5.37;<=;237.87070756307756;139.0;0.0024089099200841346;Ag ka <= 237.870708
Ag ka > -11.59;1.3530068734465959;Ag ka;-11.59;>;-489.01057540288787;105.0;0.047686324588166684;Ag ka > -489.010575
Ag ka > 5.37;1.335531507016813;Ag ka;5.37;>;237.87070756307756;139.0;0.0024089099200841346;Ag ka > 237.870708
Bremsstrahlung <= 4.15;1.312663604167668;Bremsstrahlung;4.15;<=;83.6777418516451;106.0;0.010263855528465093;Bremsstrahlung <= 83.677742
Bremsstrahlung <= 9.64;1.2673729478239726;Bremsstrahlung;9.64;<=;198.57564012239467;82.0;0.011684949302992464;Bremsstrahlung <= 198.575640
Ag ka <= 20.95;1.255631559060515;Ag ka;20.95;<=;815.8725816964694;48.0;0.07223845950692365;Ag ka <= 815.872582
Ag ka > -7.06;1.1607470131161732;Ag ka;-7.06;>;-250.573937055118;70.0;0.012823896618622932;Ag ka > -250.573937
Bremsstrahlung > -9.06;1.1060779750953706;Bremsstrahlung;-9.06;>;-170.55833192945536;125.0;0.0008367000031874738;Bremsstrahlung > -170.558332
Ag La > -18.52;1.0687680303231317;Ag La;-18.52;>;-258.4477998387841;161.0;0.01170501837605542;Ag La > -258.447800
Bremsstrahlung > 4.15;1.0535491177957477;Bremsstrahlung;4.15;>;83.6777418516451;106.0;0.010263855528465093;Bremsstrahlung > 83.677742
Bremsstrahlung > -1.54;1.0453691503627462;Bremsstrahlung;-1.54;>;-72.07916823575721;60.0;0.037183896407487094;Bremsstrahlung > -72.079168
Ag Lb > -15.87;0.8777142947850157;Ag Lb;-15.87;>;-194.32699493561734;146.0;0.11032869035353876;Ag Lb > -194.326995
Ag La > 7.76;0.7478111514456223;Ag La;7.76;>;105.8148860757533;78.0;0.0029629235412862442;Ag La > 105.814886
Ag Lb > 6.48;0.6275295259859547;Ag Lb;6.48;>;75.49644981449643;98.0;0.013049628842000338;Ag Lb > 75.496450
Ag La > 2.70;0.49526661679095274;Ag La;2.70;>;34.935039484326694;86.0;0.021418286605097592;Ag La > 34.935039
Ag Lb > 2.36;0.3512224180913722;Ag Lb;2.36;>;30.578161867946505;0.0;0.008012762675194018;Ag Lb > 30.578162
Ag compton <= -1.09;0.19106293211336714;Ag compton;-1.09;<=;-26.815762054746568;75.0;0.015426775365999346;Ag compton <= -26.815762
Ag compton <= 2.96;0.15432454093623366;Ag compton;2.96;<=;74.3947005834142;207.0;0.010136869954575634;Ag compton <= 74.394701
Ag compton <= 6.52;0.12259548159866798;Ag compton;6.52;<=;158.1834683584534;100.0;0.030141366695601413;Ag compton <= 158.183468
Ag compton > 2.96;0.10146961191517473;Ag compton;2.96;>;74.3947005834142;207.0;0.010136869954575634;Ag compton > 74.394701
Ag compton > -6.71;0.09455593083302558;Ag compton;-6.71;>;-167.5778598383517;39.0;0.0755241618071949;Ag compton > -167.577860
Ag compton > -1.09;0.03570040357596578;Ag compton;-1.09;>;-26.815762054746568;75.0;0.015426775365999346;Ag compton > -26.815762
Zn > 0.56;0.017833360352068183;Zn;0.56;>;5.069906061306999;142.0;0.00047560737980190115;Zn > 5.069906
Zn > -0.39;0.01697189478593787;Zn;-0.39;>;0.5654668383858351;210.0;0.0024953563782162957;Zn > 0.565467
background > -1.23;0.01664707077455347;background;-1.23;>;1.2422442831635723;67.0;0.007894383994145215;background > 1.242244
background > -0.46;0.016431324004537534;background;-0.46;>;11.2665058740081;83.0;0.0027003758268662192;background > 11.266506
background <= 1.29;0.016340765033511007;background;1.29;<=;-2.673204274262481;103.0;0.000910009241718468;background <= -2.673204
Cu > -0.64;0.016340316182205526;Cu;-0.64;>;-1.4354982852014304;17.0;4.247821877800817e-05;Cu > -1.435498
Cu > -1.74;0.016193429747530432;Cu;-1.74;>;-4.731903911888874;53.0;0.007330345152780193;Cu > -4.731904
Cu <= 1.92;0.01619187189391984;Cu;1.92;<=;8.991687116107627;121.0;0.02026252116212457;Cu <= 8.991687
background > 0.40;0.015836467848659726;background;0.40;>;4.852292955544042;186.0;0.003286762845529201;background > 4.852293
Cu > 0.32;0.015829008786811684;Cu;0.32;>;0.8084919527895379;46.0;0.007032307528951842;Cu > 0.808492
background <= 0.40;0.015475661833483452;background;0.40;<=;4.852292955544042;186.0;0.003286762845529201;background <= 4.852293
Cu <= 0.32;0.015355471381261183;Cu;0.32;<=;0.8084919527895379;46.0;0.007032307528951842;Cu <= 0.808492
background <= -0.46;0.014853510877532977;background;-0.46;<=;11.2665058740081;83.0;0.0027003758268662192;background <= 11.266506
Zn > -1.47;0.012375082327675917;Zn;-1.47;>;-11.950024642615231;222.0;0.011054998962712004;Zn > -11.950025
Cu <= -0.64;0.010339175439031248;Cu;-0.64;<=;-1.4354982852014304;17.0;4.247821877800817e-05;Cu <= -1.435498
