Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ca ka > -1.73;14.624417945261662;Ca ka;-1.73;>;-2.8062730617879375;140.0;0.001954092204244473;Ca ka > -2.806273
Ca ka > -1.02;5.956785241429289;Ca ka;-1.02;>;-1.6352669315110882;143.0;0.000757203099233994;Ca ka > -1.635267
Ca ka <= 1.21;5.023556092010034;Ca ka;1.21;<=;2.03406718744581;2.0;0.019671358755504853;Ca ka <= 2.034067
Fe ka > 0.86;3.998609821813707;Fe ka;0.86;>;55.59500488298477;114.0;0.0011741437292197565;Fe ka > 55.595005
Ti ka > 0.93;3.7409005266396758;Ti ka;0.93;>;6.770758229494245;113.0;0.010621122056072463;Ti ka > 6.770758
Fe ka > -0.43;3.311339109385724;Fe ka;-0.43;>;-54.40260777789882;14.0;0.0024805523301543175;Fe ka > -54.402608
Fe ka > -2.66;3.017209998379511;Fe ka;-2.66;>;-16.127618706674088;78.0;0.03646238777444699;Fe ka > -16.127619
Ti ka > -1.78;2.716303753995585;Ti ka;-1.78;>;-11.954433957081815;114.0;0.014249468229877937;Ti ka > -11.954434
Ti ka > -0.57;2.5326662772895796;Ti ka;-0.57;>;-3.2656066475860395;42.0;0.007224309386449468;Ti ka > -3.265607
Mn > -0.65;2.4584007701793604;Mn;-0.65;>;-1.2971387802801488;34.0;0.0025777000379457737;Mn > -1.297139
Si > -0.66;2.225729972064694;Si;-0.66;>;-2.1248918569066433;130.0;0.003022556711248181;Si > -2.124892
Ca kb > -0.37;2.0069981125766883;Ca kb;-0.37;>;-0.40320955669042885;129.0;0.0005405672224748637;Ca kb > -0.403210
Ti ka <= -0.57;1.8726887710218727;Ti ka;-0.57;<=;-3.2656066475860395;42.0;0.007224309386449468;Ti ka <= -3.265607
Si > 0.13;1.726063198938963;Si;0.13;>;0.3010256789296193;126.0;0.0025855372145600075;Si > 0.301026
Mn > -0.38;1.6804729270088319;Mn;-0.38;>;-0.7410635608597471;81.0;0.009562175901591141;Mn > -0.741064
Ca ka <= -0.36;1.6759663287590159;Ca ka;-0.36;<=;-0.6412961601123365;49.0;0.0041413887316002485;Ca ka <= -0.641296
Si > -0.20;1.6407542994090507;Si;-0.20;>;-0.15872939255057616;122.0;0.00020185527359861677;Si > -0.158729
Ca ka > -0.36;1.5880315654386414;Ca ka;-0.36;>;-0.6412961601123365;49.0;0.0041413887316002485;Ca ka > -0.641296
Ti ka <= 1.88;1.5539284855639721;Ti ka;1.88;<=;12.528841379455551;81.0;0.02762388103509439;Ti ka <= 12.528841
Ca kb > -0.23;1.4682271577753945;Ca kb;-0.23;>;-0.25102151180973414;15.0;0.001045772268542522;Ca kb > -0.251022
K > -0.20;1.4096089625625055;K;-0.20;>;-0.2636285902362482;126.0;0.000435722727099519;K > -0.263629
K > -0.38;1.3888812932990322;K;-0.38;>;-0.4707731824512983;90.0;0.0008190235808471225;K > -0.470773
Fe kb > -0.07;1.3450235317954644;Fe kb;-0.07;>;-3.2656415443674414;57.0;0.008032026399995312;Fe kb > -3.265642
Fe kb > 0.40;1.3175498354117996;Fe kb;0.40;>;7.56867080418674;114.0;0.0030542543566614566;Fe kb > 7.568671
Ti ka <= 0.93;1.1773041166380258;Ti ka;0.93;<=;6.770758229494245;113.0;0.010621122056072463;Ti ka <= 6.770758
Ti kb > 0.26;1.1521060770143818;Ti kb;0.26;>;0.6200712481000183;83.0;0.0018450445188293862;Ti kb > 0.620071
Al <= 0.37;1.12867914235246;Al;0.37;<=;0.8309178512206127;118.0;0.002165788707475469;Al <= 0.830918
Mn > -0.15;1.0850829935629813;Mn;-0.15;>;-0.3572258050728526;56.0;0.003096181520688135;Mn > -0.357226
Fe ka <= 2.21;1.0552471101652343;Fe ka;2.21;<=;-52.02738279546505;10.0;0.0252689512680222;Fe ka <= -52.027383
Ti kb <= 0.72;1.050964698271528;Ti kb;0.72;<=;2.142971634181481;99.0;0.0029017884368645053;Ti kb <= 2.142972
K > 0.02;1.0498884471128367;K;0.02;>;0.0016847153441331894;19.0;0.0004767108866801477;K > 0.001685
Ti kb > -0.16;1.0430825033286262;Ti kb;-0.16;>;-0.5056735442900973;120.0;0.0018718069298896411;Ti kb > -0.505674
Fe kb > -1.03;1.0378997594748363;Fe kb;-1.03;>;-18.16467997559096;27.0;0.021265842965726423;Fe kb > -18.164680
Ca kb <= 0.29;1.0289105273501356;Ca kb;0.29;<=;0.32335945309548175;141.0;0.004897774817083422;Ca kb <= 0.323359
Al > -0.33;1.0143583894155017;Al;-0.33;>;-0.6812106673850159;7.0;0.0020188853298440113;Al > -0.681211
Mn > 0.64;0.9994055801697684;Mn;0.64;>;1.2936068069556366;104.0;0.014335926949453959;Mn > 1.293607
Fe ka <= 0.86;0.9901867666418713;Fe ka;0.86;<=;55.59500488298477;114.0;0.0011741437292197565;Fe ka <= 55.595005
Fe ka <= -0.43;0.9642761894014338;Fe ka;-0.43;<=;-54.40260777789882;14.0;0.0024805523301543175;Fe ka <= -54.402608
Mn <= 0.64;0.9229338689948505;Mn;0.64;<=;1.2936068069556366;104.0;0.014335926949453959;Mn <= 1.293607
sum Fe <= 0.13;0.89790761352801;sum Fe;0.13;<=;0.18458981757014586;118.0;0.0018750200524467187;sum Fe <= 0.184590
sum Fe > -0.31;0.8827781446975155;sum Fe;-0.31;>;-0.4517117255486345;10.0;0.01049305068917672;sum Fe > -0.451712
Ti kb <= 0.26;0.8756385013897511;Ti kb;0.26;<=;0.6200712481000183;83.0;0.0018450445188293862;Ti kb <= 0.620071
Ti kb > -0.63;0.8675337888450632;Ti kb;-0.63;>;-1.9571664924725496;26.0;0.0012656326177502564;Ti kb > -1.957166
K <= 0.39;0.8410367721345364;K;0.39;<=;0.47767571065750647;85.0;0.0014428022398936258;K <= 0.477676
sum Fe <= 0.31;0.8361648274432819;sum Fe;0.31;<=;0.4185138860262073;56.0;0.0033339922817875456;sum Fe <= 0.418514
