Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > -9.52;15.615181205113522;Fe ka;-9.52;>;27.0;14.0;0.001859281470446561;Fe ka > 27.000000
Fe ka > -9.79;11.2991948592463;Fe ka;-9.79;>;28.0;22.0;0.0031300668584233193;Fe ka > 28.000000
Fe ka > -9.99;8.172715637251253;Fe ka;-9.99;>;22.0;47.0;0.004817531329518232;Fe ka > 22.000000
Ca ka > -11.32;6.249820346132133;Ca ka;-11.32;>;22.0;93.0;0.025178102134832514;Ca ka > 22.000000
Ca ka > -9.50;6.240509482501897;Ca ka;-9.50;>;46.0;78.0;0.054285525492209885;Ca ka > 46.000000
Fe kb > -3.33;5.364699048843808;Fe kb;-3.33;>;11.0;43.0;0.0030914471781446906;Fe kb > 11.000000
Ca ka > -3.87;4.326377239946121;Ca ka;-3.87;>;117.0;101.0;0.012015329546559705;Ca ka > 117.000000
Fe kb > -3.12;4.0141153514010455;Fe kb;-3.12;>;12.0;12.0;0.0029281719452223243;Fe kb > 12.000000
Ti ka <= 9.58;3.923118565014719;Ti ka;9.58;<=;271.0;60.0;0.04184309042689094;Ti ka <= 271.000000
Ti ka > -11.80;3.854839789241143;Ti ka;-11.80;>;17.0;266.0;0.001316404665416826;Ti ka > 17.000000
Fe kb > -3.55;3.369719497088333;Fe kb;-3.55;>;13.0;10.0;0.0008889336984885254;Fe kb > 13.000000
Fe kb > -3.78;2.891296089787524;Fe kb;-3.78;>;11.0;35.0;0.0017861151179952017;Fe kb > 11.000000
Ca kb > -3.40;2.4554762487837207;Ca kb;-3.40;>;16.0;88.0;0.0017070081843288953;Ca kb > 16.000000
Ti ka <= 5.17;2.3520408608220236;Ti ka;5.17;<=;210.0;68.0;0.054284928205914795;Ti ka <= 210.000000
Ca kb > -4.13;2.003899519844179;Ca kb;-4.13;>;12.0;6.0;0.025261410988422384;Ca kb > 12.000000
Ti kb > -4.42;1.9321315426681138;Ti kb;-4.42;>;12.0;181.0;0.010141962683214878;Ti kb > 12.000000
Cu ka > -4.65;1.9283008221479707;Cu ka;-4.65;>;16.0;1.0;0.0017210904248736725;Cu ka > 16.000000
Ca kb > -2.16;1.8511827074583447;Ca kb;-2.16;>;21.0;155.0;0.0002246749602021758;Ca kb > 21.000000
Cu ka > -3.85;1.82508675742899;Cu ka;-3.85;>;20.0;105.0;0.003229283820522344;Cu ka > 20.000000
Ti kb <= 4.94;1.7937363107623447;Ti kb;4.94;<=;50.0;31.0;0.04209854266093682;Ti kb <= 50.000000
Cu ka > -4.34;1.6505630392865667;Cu ka;-4.34;>;19.0;36.0;0.0003812511916079231;Cu ka > 19.000000
Ca ka <= 15.83;1.650333929636586;Ca ka;15.83;<=;360.0;267.0;0.01172245322230836;Ca ka <= 360.000000
Ti ka > -3.06;1.50404876518656;Ti ka;-3.06;>;142.0;42.0;0.005217391304345842;Ti ka > 142.000000
Ti kb <= 2.65;1.2139951399819968;Ti kb;2.65;<=;40.0;45.0;0.0021458227558008858;Ti kb <= 40.000000
Ti ka > 5.17;0.876792039332996;Ti ka;5.17;>;210.0;68.0;0.054284928205914795;Ti ka > 210.000000
Cu kb > -1.94;0.5284844361952137;Cu kb;-1.94;>;17.0;67.0;0.0014052083334641363;Cu kb > 17.000000
Cu kb > -2.29;0.35241353557743016;Cu kb;-2.29;>;15.0;32.0;0.0049397313947316945;Cu kb > 15.000000
Ti kb > -2.37;0.3514115440798137;Ti kb;-2.37;>;34.0;150.0;0.014211025328942917;Ti kb > 34.000000
Ca kb <= 6.33;0.32746145379009817;Ca kb;6.33;<=;63.0;191.0;0.06597071740418858;Ca kb <= 63.000000
Ti ka <= -3.06;0.26431209613582485;Ti ka;-3.06;<=;142.0;42.0;0.005217391304345842;Ti ka <= 142.000000
Cu kb > 1.52;0.2440429387453666;Cu kb;1.52;>;16.0;40.0;0.01764569954902573;Cu kb > 16.000000
Ti kb > 2.65;0.1593630840196452;Ti kb;2.65;>;40.0;45.0;0.0021458227558008858;Ti kb > 40.000000
Zn ka > -1.96;0.14074954534985673;Zn ka;-1.96;>;15.0;12.0;0.004307570184193477;Zn ka > 15.000000
background1 <= 3.34;0.12557835390486233;background1;3.34;<=;17.0;82.0;0.0011098288409101542;background1 <= 17.000000
Zn ka <= 2.71;0.10298189747844501;Zn ka;2.71;<=;20.0;42.0;0.005098350438561994;Zn ka <= 20.000000
Ca ka <= -3.87;0.08665046288189474;Ca ka;-3.87;<=;117.0;101.0;0.012015329546559705;Ca ka <= 117.000000
background3 <= 3.56;0.08155416871318034;background3;3.56;<=;245.0;227.0;0.0050163092501578355;background3 <= 245.000000
background1 <= 2.62;0.08135180671519934;background1;2.62;<=;14.0;244.0;0.00010198625785040605;background1 <= 14.000000
background3 <= 3.24;0.07927178749460356;background3;3.24;<=;243.0;175.0;0.003476517346342689;background3 <= 243.000000
Ag ka scattering <= 2.97;0.0773621433447105;Ag ka scattering;2.97;<=;3522.0;199.0;0.0042895197793728634;Ag ka scattering <= 3522.000000
Ag ka scattering <= 2.53;0.07624445118389755;Ag ka scattering;2.53;<=;3627.0;176.0;0.0027460529627751917;Ag ka scattering <= 3627.000000
background1 > -2.11;0.07571579020448294;background1;-2.11;>;13.0;184.0;0.021415025033288515;background1 > 13.000000
background3 <= 2.84;0.07512450409364292;background3;2.84;<=;247.0;3.0;0.0008577545885870563;background3 <= 247.000000
background2 <= 1.66;0.07486895302447584;background2;1.66;<=;12.0;16.0;0.006787815320667301;background2 <= 12.000000
Zn kb <= 1.87;0.07359063881040406;Zn kb;1.87;<=;39.0;81.0;0.00230454244661793;Zn kb <= 39.000000
Ag ka scattering <= -2.15;0.07195410588529627;Ag ka scattering;-2.15;<=;3513.0;45.0;0.002736772376570773;Ag ka scattering <= 3513.000000
Zn ka <= 2.14;0.06280956349119544;Zn ka;2.14;<=;17.0;61.0;0.0008281186337160129;Zn ka <= 17.000000
Ti kb <= -2.37;0.06161569675564009;Ti kb;-2.37;<=;34.0;150.0;0.014211025328942917;Ti kb <= 34.000000
Zn ka > -1.38;0.058506102858391765;Zn ka;-1.38;>;13.0;250.0;0.00037668569179771794;Zn ka > 13.000000
Ag ka scattering > -2.89;0.05448175813676178;Ag ka scattering;-2.89;>;3589.0;7.0;0.0031159309555763848;Ag ka scattering > 3589.000000
Ca ka <= -9.50;0.05328387098345113;Ca ka;-9.50;<=;46.0;78.0;0.054285525492209885;Ca ka <= 46.000000
background3 > -3.09;0.052962496196450284;background3;-3.09;>;244.0;12.0;0.0002630389386908405;background3 > 244.000000
background1 <= 2.11;0.052327775381772954;background1;2.11;<=;13.0;226.0;0.0018397931614009266;background1 <= 13.000000
Cu kb <= 2.73;0.051045653667151275;Cu kb;2.73;<=;22.0;52.0;0.011266479028522625;Cu kb <= 22.000000
Zn kb <= 2.22;0.0499945277173984;Zn kb;2.22;<=;40.0;20.0;0.0009235966326497369;Zn kb <= 40.000000
Cu ka <= -2.23;0.04855942421568346;Cu ka;-2.23;<=;32.0;198.0;0.10904647169873671;Cu ka <= 32.000000
Ar ka + Ag L <= 2.08;0.04817068848034768;Ar ka + Ag L;2.08;<=;350.0;47.0;0.0014274254956863075;Ar ka + Ag L <= 350.000000
Ca kb <= -2.16;0.045445509073195486;Ca kb;-2.16;<=;21.0;155.0;0.0002246749602021758;Ca kb <= 21.000000
Ar ka + Ag L <= 2.46;0.04457113274299164;Ar ka + Ag L;2.46;<=;368.0;110.0;0.0016279342968257282;Ar ka + Ag L <= 368.000000
Zn kb > -2.01;0.04440189771263505;Zn kb;-2.01;>;30.0;13.0;0.011911546842197751;Zn kb > 30.000000
Zn ka > 2.14;0.044054643904745415;Zn ka;2.14;>;17.0;61.0;0.0008281186337160129;Zn ka > 17.000000
background2 > 2.06;0.04130933453238896;background2;2.06;>;13.0;6.0;0.003243029174071488;background2 > 13.000000
Cu ka <= -3.85;0.03850354143133576;Cu ka;-3.85;<=;20.0;105.0;0.003229283820522344;Cu ka <= 20.000000
background2 <= 2.06;0.03803242669472915;background2;2.06;<=;13.0;6.0;0.003243029174071488;background2 <= 13.000000
background2 > 1.66;0.03775620850244087;background2;1.66;>;12.0;16.0;0.006787815320667301;background2 > 12.000000
background2 <= 2.45;0.03775183893155854;background2;2.45;<=;14.0;26.0;0.002011488477943857;background2 <= 14.000000
Ar ka + Ag L > -1.71;0.037555469876664846;Ar ka + Ag L;-1.71;>;339.0;93.0;0.0019971747875953128;Ar ka + Ag L > 339.000000
Zn kb <= 2.67;0.035810320614758306;Zn kb;2.67;<=;40.0;247.0;0.006967237462558007;Zn kb <= 40.000000
Cu kb <= 1.52;0.034298328173234964;Cu kb;1.52;<=;16.0;40.0;0.01764569954902573;Cu kb <= 16.000000
Ca kb <= -3.40;0.03421785459107489;Ca kb;-3.40;<=;16.0;88.0;0.0017070081843288953;Ca kb <= 16.000000
background2 > -1.65;0.034087615718585186;background2;-1.65;>;11.0;100.0;0.002336402856102149;background2 > 11.000000
background3 > 2.84;0.03374668756646805;background3;2.84;>;247.0;3.0;0.0008577545885870563;background3 > 247.000000
background3 > 3.24;0.03365521685348229;background3;3.24;>;243.0;175.0;0.003476517346342689;background3 > 243.000000
background1 > 2.11;0.03311404925046454;background1;2.11;>;13.0;226.0;0.0018397931614009266;background1 > 13.000000
Ag ka scattering > -2.15;0.032794310405442985;Ag ka scattering;-2.15;>;3513.0;45.0;0.002736772376570773;Ag ka scattering > 3513.000000
Ar ka + Ag L > -2.24;0.03278522483483032;Ar ka + Ag L;-2.24;>;348.0;43.0;0.017052865648391702;Ar ka + Ag L > 348.000000
Zn kb > 1.87;0.03275491740154396;Zn kb;1.87;>;39.0;81.0;0.00230454244661793;Zn kb > 39.000000
Fe ka <= -9.52;0.031927845950419066;Fe ka;-9.52;<=;27.0;14.0;0.001859281470446561;Fe ka <= 27.000000
Fe kb <= -3.55;0.031444162391267905;Fe kb;-3.55;<=;13.0;10.0;0.0008889336984885254;Fe kb <= 13.000000
Ar ka + Ag L > 2.08;0.03142523464403456;Ar ka + Ag L;2.08;>;350.0;47.0;0.0014274254956863075;Ar ka + Ag L > 350.000000
Zn kb > 2.22;0.03105413507460902;Zn kb;2.22;>;40.0;20.0;0.0009235966326497369;Zn kb > 40.000000
Ar ka + Ag L <= -1.71;0.030283905686432307;Ar ka + Ag L;-1.71;<=;339.0;93.0;0.0019971747875953128;Ar ka + Ag L <= 339.000000
background1 > 2.62;0.02997261312210134;background1;2.62;>;14.0;244.0;0.00010198625785040605;background1 > 14.000000
Fe kb <= -3.12;0.029778333842865136;Fe kb;-3.12;<=;12.0;12.0;0.0029281719452223243;Fe kb <= 12.000000
Ag ka scattering > 2.53;0.02756662253821548;Ag ka scattering;2.53;>;3627.0;176.0;0.0027460529627751917;Ag ka scattering > 3627.000000
Fe ka <= -9.79;0.027008481998281618;Fe ka;-9.79;<=;28.0;22.0;0.0031300668584233193;Fe ka <= 28.000000
Zn ka <= -1.38;0.026450888708174407;Zn ka;-1.38;<=;13.0;250.0;0.00037668569179771794;Zn ka <= 13.000000
Fe ka <= -9.19;0.026418297897459902;Fe ka;-9.19;<=;26.0;165.0;0.004129459804468993;Fe ka <= 26.000000
Cu ka <= -4.34;0.023848269525346504;Cu ka;-4.34;<=;19.0;36.0;0.0003812511916079231;Cu ka <= 19.000000
Cu kb <= -1.94;0.022441482931992135;Cu kb;-1.94;<=;17.0;67.0;0.0014052083334641363;Cu kb <= 17.000000
Fe kb <= -3.33;0.017693367730109946;Fe kb;-3.33;<=;11.0;43.0;0.0030914471781446906;Fe kb <= 11.000000
Class_B;0.0;;;;;;;
Class_A;0.0;;;;;;;
