Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ti ka <= -3.06;5.586330253066788;Ti ka;-3.06;<=;142.0;42.0;0.005217391304345842;Ti ka <= 142.000000
Ti ka <= 5.17;4.91434706120609;Ti ka;5.17;<=;210.0;68.0;0.054284928205914795;Ti ka <= 210.000000
Ti ka > 5.17;4.871831642254008;Ti ka;5.17;>;210.0;68.0;0.054284928205914795;Ti ka > 210.000000
Ti ka <= 9.58;4.517429822915126;Ti ka;9.58;<=;271.0;60.0;0.04184309042689094;Ti ka <= 271.000000
Ti ka > -11.80;3.760563658936246;Ti ka;-11.80;>;17.0;266.0;0.001316404665416826;Ti ka > 17.000000
Ti ka > -3.06;2.9822326926571243;Ti ka;-3.06;>;142.0;42.0;0.005217391304345842;Ti ka > 142.000000
Ca ka > -3.87;2.2514449120422477;Ca ka;-3.87;>;117.0;101.0;0.012015329546559705;Ca ka > 117.000000
Ca ka > -9.50;1.6852023626170907;Ca ka;-9.50;>;46.0;78.0;0.054285525492209885;Ca ka > 46.000000
Ca ka > -11.32;1.2969020556594868;Ca ka;-11.32;>;22.0;93.0;0.025178102134832514;Ca ka > 22.000000
Cu ka > -3.85;0.8949483041201255;Cu ka;-3.85;>;20.0;105.0;0.003229283820522344;Cu ka > 20.000000
Ca ka <= -9.50;0.824819594504114;Ca ka;-9.50;<=;46.0;78.0;0.054285525492209885;Ca ka <= 46.000000
Ti kb > 2.65;0.7935110116487132;Ti kb;2.65;>;40.0;45.0;0.0021458227558008858;Ti kb > 40.000000
Ti kb <= -2.37;0.770105825192569;Ti kb;-2.37;<=;34.0;150.0;0.014211025328942917;Ti kb <= 34.000000
Cu ka > -4.34;0.7350144197222492;Cu ka;-4.34;>;19.0;36.0;0.0003812511916079231;Cu ka > 19.000000
Ca ka <= 15.83;0.6417320870479299;Ca ka;15.83;<=;360.0;267.0;0.01172245322230836;Ca ka <= 360.000000
Ti kb > -4.42;0.6044213689051225;Ti kb;-4.42;>;12.0;181.0;0.010141962683214878;Ti kb > 12.000000
Ti kb > -2.37;0.5541360432394651;Ti kb;-2.37;>;34.0;150.0;0.014211025328942917;Ti kb > 34.000000
Ca ka <= -3.87;0.518032430660327;Ca ka;-3.87;<=;117.0;101.0;0.012015329546559705;Ca ka <= 117.000000
Cu ka > -4.65;0.49301755310336604;Cu ka;-4.65;>;16.0;1.0;0.0017210904248736725;Cu ka > 16.000000
Ti kb <= 2.65;0.48306649110291355;Ti kb;2.65;<=;40.0;45.0;0.0021458227558008858;Ti kb <= 40.000000
Ti kb <= 4.94;0.36330641652840157;Ti kb;4.94;<=;50.0;31.0;0.04209854266093682;Ti kb <= 50.000000
Ag ka scattering <= -2.15;0.3199440500461328;Ag ka scattering;-2.15;<=;3513.0;45.0;0.002736772376570773;Ag ka scattering <= 3513.000000
Fe ka > -9.52;0.3022446592531548;Fe ka;-9.52;>;27.0;14.0;0.001859281470446561;Fe ka > 27.000000
Ca kb > -2.16;0.288228262491236;Ca kb;-2.16;>;21.0;155.0;0.0002246749602021758;Ca kb > 21.000000
Ag ka scattering <= 2.53;0.2687479614502582;Ag ka scattering;2.53;<=;3627.0;176.0;0.0027460529627751917;Ag ka scattering <= 3627.000000
Ag ka scattering > 2.53;0.2547333195710643;Ag ka scattering;2.53;>;3627.0;176.0;0.0027460529627751917;Ag ka scattering > 3627.000000
Ag ka scattering <= 2.97;0.2355792395467955;Ag ka scattering;2.97;<=;3522.0;199.0;0.0042895197793728634;Ag ka scattering <= 3522.000000
Fe ka > -9.79;0.21926155435846603;Fe ka;-9.79;>;28.0;22.0;0.0031300668584233193;Fe ka > 28.000000
Ag ka scattering > -2.15;0.21279284759587702;Ag ka scattering;-2.15;>;3513.0;45.0;0.002736772376570773;Ag ka scattering > 3513.000000
Ca kb > -3.40;0.20670331420056265;Ca kb;-3.40;>;16.0;88.0;0.0017070081843288953;Ca kb > 16.000000
Ag ka scattering > -2.89;0.20011579264275958;Ag ka scattering;-2.89;>;3589.0;7.0;0.0031159309555763848;Ag ka scattering > 3589.000000
Ca kb > -4.13;0.19410581133470642;Ca kb;-4.13;>;12.0;6.0;0.025261410988422384;Ca kb > 12.000000
Fe ka > -9.99;0.1937708180282664;Fe ka;-9.99;>;22.0;47.0;0.004817531329518232;Fe ka > 22.000000
