Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Si > -0.34;10.092257392312584;Si;-0.34;>;8.74;99.0;0.007497190510132701;Si > 8.740000
Si > -0.73;7.253833202559415;Si;-0.73;>;7.71;127.0;0.007737464247996151;Si > 7.710000
Ca ka <= -0.97;6.330392205129466;Ca ka;-0.97;<=;52.85;84.0;0.008158735261081462;Ca ka <= 52.850000
Si > -1.10;5.872792309388706;Si;-1.10;>;6.35;79.0;0.00221094694332713;Si > 6.350000
Ca ka > 0.86;5.236783542279284;Ca ka;0.86;>;53.67;82.0;0.0049691301478885785;Ca ka > 53.670000
Ca ka <= 0.86;4.245582485170204;Ca ka;0.86;<=;53.67;82.0;0.0049691301478885785;Ca ka <= 53.670000
Ca ka > -2.11;4.208794069634051;Ca ka;-2.11;>;34.8;28.0;0.009033188858947216;Ca ka > 34.800000
Ca ka > -0.97;4.06605268902354;Ca ka;-0.97;>;52.85;84.0;0.008158735261081462;Ca ka > 52.850000
Ca ka <= 1.96;3.9110127833046553;Ca ka;1.96;<=;60.85;61.0;0.012629937957785664;Ca ka <= 60.850000
Si <= 1.59;3.101347271417615;Si;1.59;<=;14.68;38.0;0.0020003101183447836;Si <= 14.680000
Si <= -0.73;2.6132852501749966;Si;-0.73;<=;7.71;127.0;0.007737464247996151;Si <= 7.710000
Si <= -0.34;1.9534364676500993;Si;-0.34;<=;8.74;99.0;0.007497190510132701;Si <= 8.740000
Rh L + Ar > -0.13;1.3224480996340273;Rh L + Ar;-0.13;>;25.51;13.0;0.0054307137995689425;Rh L + Ar > 25.510000
Ca kb <= -0.30;0.9793275682551169;Ca kb;-0.30;<=;7.85;67.0;0.0027519157259952576;Ca kb <= 7.850000
Ca kb > 0.31;0.7632516611451867;Ca kb;0.31;>;9.09;72.0;0.0043213282456426305;Ca kb > 9.090000
Rh L + Ar > -0.42;0.7018894498632429;Rh L + Ar;-0.42;>;25.38;119.0;0.0029266907569617806;Rh L + Ar > 25.380000
Fe ka > -0.89;0.7009036457688229;Fe ka;-0.89;>;14.56;91.0;0.0026769585732066004;Fe ka > 14.560000
Ca kb <= 0.31;0.695060606002605;Ca kb;0.31;<=;9.09;72.0;0.0043213282456426305;Ca kb <= 9.090000
Rh L + Ar > -0.78;0.6728768353259846;Rh L + Ar;-0.78;>;24.31;125.0;0.009478827035519055;Rh L + Ar > 24.310000
Rh L + Ar <= -0.42;0.6680885927969538;Rh L + Ar;-0.42;<=;25.38;119.0;0.0029266907569617806;Rh L + Ar <= 25.380000
Ca kb > -0.79;0.6531083911860986;Ca kb;-0.79;>;6.03;35.0;0.0021380847169933936;Ca kb > 6.030000
Ca kb <= 0.69;0.599225040656086;Ca kb;0.69;<=;10.26;85.0;0.009587825072312484;Ca kb <= 10.260000
Ca kb > -0.30;0.5445645190481878;Ca kb;-0.30;>;7.85;67.0;0.0027519157259952576;Ca kb > 7.850000
Rh L + Ar <= 0.63;0.48011659736510426;Rh L + Ar;0.63;<=;27.26;45.0;0.003907620755506991;Rh L + Ar <= 27.260000
Rh L + Ar <= -0.13;0.4612187647862275;Rh L + Ar;-0.13;<=;25.51;13.0;0.0054307137995689425;Rh L + Ar <= 25.510000
Fe ka > -1.49;0.4529931090599204;Fe ka;-1.49;>;11.85;133.0;0.001598635209913768;Fe ka > 11.850000
K <= -0.94;0.4322922514277253;K;-0.94;<=;135.89;51.0;0.00023100529005448678;K <= 135.890000
Fe ka > -1.26;0.4319805162375545;Fe ka;-1.26;>;12.69;104.0;0.00024271766699723862;Fe ka > 12.690000
K <= 0.94;0.41789270850213467;K;0.94;<=;151.21;90.0;0.00259525685598172;K <= 151.210000
K > -0.94;0.4094896291649779;K;-0.94;>;135.89;51.0;0.00023100529005448678;K > 135.890000
K > 0.94;0.3938860883480203;K;0.94;>;151.21;90.0;0.00259525685598172;K > 151.210000
K > -2.69;0.3452432218735538;K;-2.69;>;111.52;106.0;0.01914987023331216;K > 111.520000
K <= 2.49;0.3375672809423167;K;2.49;<=;170.59;132.0;0.02913390994805276;K <= 170.590000
