Method_1;Method_2;RBO_Score
Reg_Coefficient;LRC_perturbation;0.9264177855133334
Shap;LRC_perturbation;0.9097955687599999
Shap;Permutation;0.9009265687599999
Reg_Coefficient;Shap;0.8913400821766667
Permutation;LRC_perturbation;0.8725694885166665
Reg_Coefficient;Permutation;0.8617447720966667
VIP_Score;LRC_covariance;0.7949429751
Permutation;LRC_covariance;0.42388328551333326
Shap;LRC_covariance;0.4207510769699999
LRC_perturbation;LRC_covariance;0.4082102720966666
Reg_Coefficient;LRC_covariance;0.3640861907199999
VIP_Score;Permutation;0.3416927855133332
VIP_Score;Shap;0.2895605769699999
VIP_Score;LRC_perturbation;0.2770197720966666
VIP_Score;Reg_Coefficient;0.23289569072
