Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ca ka > -0.21;7.65076329967081;Ca ka;-0.21;>;3.15;118.0;0.003544391648966555;Ca ka > 3.150000
Ca ka > -0.47;5.284504807267853;Ca ka;-0.47;>;2.5;15.0;9.98355369408177e-05;Ca ka > 2.500000
Mn > -0.12;4.052194856236062;Mn;-0.12;>;4.55;18.0;0.0018376143732244943;Mn > 4.550000
Ca ka > -0.75;4.047687653168786;Ca ka;-0.75;>;2.11;133.0;0.0006202014806498957;Ca ka > 2.110000
Si > 0.17;3.489560384694047;Si;0.17;>;14.74;38.0;0.002453942196247866;Si > 14.740000
Ca ka <= -0.75;3.3665011494669983;Ca ka;-0.75;<=;2.11;133.0;0.0006202014806498957;Ca ka <= 2.110000
Mn > -0.23;3.2275255060196923;Mn;-0.23;>;4.31;111.0;1.9234430055997676e-05;Mn > 4.310000
Fe ka <= -0.36;2.9959417351780386;Fe ka;-0.36;<=;553.95;131.0;0.017159623148009673;Fe ka <= 553.950000
Si <= -0.19;2.9274293524657846;Si;-0.19;<=;14.345;30.0;3.7417133738115727e-05;Si <= 14.345000
Ca ka <= -0.47;2.8906245500412777;Ca ka;-0.47;<=;2.5;15.0;9.98355369408177e-05;Ca ka <= 2.500000
Mn > -0.33;2.795874784391993;Mn;-0.33;>;4.31;66.0;0.00044313899754994113;Mn > 4.310000
Si <= -0.36;2.672786045090983;Si;-0.36;<=;13.81;107.0;0.0016345712393944778;Si <= 13.810000
Ca ka <= -0.21;2.5713317660814976;Ca ka;-0.21;<=;3.15;118.0;0.003544391648966555;Ca ka <= 3.150000
Ca ka <= 0.57;2.5545293301585352;Ca ka;0.57;<=;4.345;45.0;0.007077233177421038;Ca ka <= 4.345000
Fe ka > 0.84;2.5543332292500387;Fe ka;0.84;>;560.33;33.0;0.008882275678082974;Fe ka > 560.330000
Fe ka <= 1.45;2.5526063849527345;Fe ka;1.45;<=;568.03;43.0;0.009341484771998365;Fe ka <= 568.030000
Si <= 0.17;2.5300669611161033;Si;0.17;<=;14.74;38.0;0.002453942196247866;Si <= 14.740000
Fe ka <= 0.84;2.5200109432153983;Fe ka;0.84;<=;560.33;33.0;0.008882275678082974;Fe ka <= 560.330000
Si > -0.19;2.504959837386888;Si;-0.19;>;14.345;30.0;3.7417133738115727e-05;Si > 14.345000
Si <= 0.36;2.479118793357772;Si;0.36;<=;16.245;28.0;0.001583806115308506;Si <= 16.245000
Si > -0.36;2.4667340490368597;Si;-0.36;>;13.81;107.0;0.0016345712393944778;Si > 13.810000
Fe ka > -0.36;2.4400327563475788;Fe ka;-0.36;>;553.95;131.0;0.017159623148009673;Fe ka > 553.950000
Mn <= -0.23;2.3774635423004677;Mn;-0.23;<=;4.31;111.0;1.9234430055997676e-05;Mn <= 4.310000
Fe ka > -1.47;2.3269554973385977;Fe ka;-1.47;>;541.4;129.0;0.01290683191070241;Fe ka > 541.400000
Mn <= 0.30;1.9670728593631064;Mn;0.30;<=;5.29;26.0;0.0014423352915683973;Mn <= 5.290000
Mn <= -0.12;1.662711742537836;Mn;-0.12;<=;4.55;18.0;0.0018376143732244943;Mn <= 4.550000
Ti ka > 0.51;1.451311614536266;Ti ka;0.51;>;61.5;83.0;0.00010314786208431848;Ti ka > 61.500000
Ti ka <= -0.35;1.3358067971103909;Ti ka;-0.35;<=;59.355;26.0;0.0002764785205388032;Ti ka <= 59.355000
Ti ka > -0.35;1.2472686127118437;Ti ka;-0.35;>;59.355;26.0;0.0002764785205388032;Ti ka > 59.355000
Ti ka > -0.79;1.1057666017384686;Ti ka;-0.79;>;55.69;114.0;0.0018982896881487576;Ti ka > 55.690000
Ti ka <= 0.51;1.054663529450931;Ti ka;0.51;<=;61.5;83.0;0.00010314786208431848;Ti ka <= 61.500000
Ti ka <= 0.91;0.9329979569397655;Ti ka;0.91;<=;67.97;20.0;0.015486134009179087;Ti ka <= 67.970000
Fe kb <= -0.21;0.7265480088012778;Fe kb;-0.21;<=;79.34;12.0;8.119364363332049e-05;Fe kb <= 79.340000
K > 0.09;0.5783771309059839;K;0.09;>;1.855;2.0;0.0010758205645776953;K > 1.855000
Fe kb <= -0.59;0.5369929132367842;Fe kb;-0.59;<=;79.61;129.0;0.010625848034092944;Fe kb <= 79.610000
Fe kb <= 0.34;0.5306299311168408;Fe kb;0.34;<=;82.69;42.0;0.00010720888678877882;Fe kb <= 82.690000
Al <= -0.20;0.5046325824580055;Al;-0.20;<=;5.995;114.0;0.0006051152400768922;Al <= 5.995000
Fe kb > 0.34;0.48241336244874944;Fe kb;0.34;>;82.69;42.0;0.00010720888678877882;Fe kb > 82.690000
Fe kb <= 0.57;0.4368251641542339;Fe kb;0.57;<=;82.7;43.0;0.0019459406958061143;Fe kb <= 82.700000
Ca kb > 0.10;0.40710279251784615;Ca kb;0.10;>;2.37;81.0;0.00023110844099574757;Ca kb > 2.370000
Fe kb > -0.21;0.36980195023547746;Fe kb;-0.21;>;79.34;12.0;8.119364363332049e-05;Fe kb > 79.340000
Al <= -0.12;0.3668445113964179;Al;-0.12;<=;5.985;21.0;0.0020039169543847324;Al <= 5.985000
Fe kb > -0.59;0.3653208760240208;Fe kb;-0.59;>;79.61;129.0;0.010625848034092944;Fe kb > 79.610000
K > -0.14;0.35750903703939985;K;-0.14;>;1.66;83.0;0.0010319100597947495;K > 1.660000
K > -0.21;0.32816727243357824;K;-0.21;>;1.7;139.0;0.0008348295510685333;K > 1.700000
Al > 0.16;0.27104745099219685;Al;0.16;>;6.4;117.0;0.0011666894696659436;Al > 6.400000
Ca kb > -0.17;0.25767151329426585;Ca kb;-0.17;>;2.16;121.0;0.0006302463703148631;Ca kb > 2.160000
K <= -0.14;0.23884700609274073;K;-0.14;<=;1.66;83.0;0.0010319100597947495;K <= 1.660000
Al <= 0.16;0.22354133013033686;Al;0.16;<=;6.4;117.0;0.0011666894696659436;Al <= 6.400000
Al <= 0.23;0.2154081994978974;Al;0.23;<=;6.39;113.0;0.0014727824774989073;Al <= 6.390000
Ca kb > -0.21;0.20103977762044623;Ca kb;-0.21;>;1.91;59.0;0.002270429292902526;Ca kb > 1.910000
Al > -0.12;0.18968517276685462;Al;-0.12;>;5.985;21.0;0.0020039169543847324;Al > 5.985000
K <= 0.21;0.18900815424140538;K;0.21;<=;2.07;30.0;0.0026071885177107734;K <= 2.070000
background2 <= -0.11;0.18253347234907594;background2;-0.11;<=;1.025;28.0;0.0011911702285491849;background2 <= 1.025000
background2 > 0.14;0.17637670124851185;background2;0.14;>;1.11;106.0;0.00014988795524251142;background2 > 1.110000
K <= 0.09;0.17405726573840638;K;0.09;<=;1.855;2.0;0.0010758205645776953;K <= 1.855000
Al > -0.20;0.16694329598034002;Al;-0.20;>;5.995;114.0;0.0006051152400768922;Al > 5.995000
background2 <= 0.14;0.1589295534567699;background2;0.14;<=;1.11;106.0;0.00014988795524251142;background2 <= 1.110000
background3 > 0.12;0.1584425667667238;background3;0.12;>;0.69;106.0;0.0006331488804310892;background3 > 0.690000
background2 > -0.11;0.1579311128661179;background2;-0.11;>;1.025;28.0;0.0011911702285491849;background2 > 1.025000
background2 <= 0.19;0.15359290422231978;background2;0.19;<=;1.02;39.0;8.018305953688687e-05;background2 <= 1.020000
background3 <= -0.11;0.15327715859731597;background3;-0.11;<=;0.69;93.0;0.0009256648210965585;background3 <= 0.690000
background3 > 0.15;0.15321936183048335;background3;0.15;>;0.69;122.0;0.0006239486971384711;background3 > 0.690000
P > 0.11;0.1531450417055396;P;0.11;>;0.765;0.0;5.272961905652962e-06;P > 0.765000
Ca kb <= -0.17;0.14973612385540247;Ca kb;-0.17;<=;2.16;121.0;0.0006302463703148631;Ca kb <= 2.160000
sum Fe <= -0.20;0.14953799783226587;sum Fe;-0.20;<=;2.45;35.0;0.009822604066596685;sum Fe <= 2.450000
background2 > -0.15;0.1466259293626366;background2;-0.15;>;0.925;146.0;0.0007905540997253102;background2 > 0.925000
Ti kb > 0.21;0.1454263675264359;Ti kb;0.21;>;13.11;84.0;5.181911970766895e-05;Ti kb > 13.110000
Ti kb <= -0.18;0.13934021672228647;Ti kb;-0.18;<=;12.305;104.0;0.0006103080250647319;Ti kb <= 12.305000
Ti kb <= 0.37;0.1384607862058852;Ti kb;0.37;<=;13.41;62.0;9.052311726864826e-05;Ti kb <= 13.410000
Ti kb <= 0.21;0.13782128596692417;Ti kb;0.21;<=;13.11;84.0;5.181911970766895e-05;Ti kb <= 13.110000
sum Fe <= -0.12;0.13760597380655626;sum Fe;-0.12;<=;2.6;116.0;0.00032048564305253713;sum Fe <= 2.600000
background3 <= 0.15;0.1359267038795857;background3;0.15;<=;0.69;122.0;0.0006239486971384711;background3 <= 0.690000
background3 > -0.14;0.13555288069956772;background3;-0.14;>;0.615;2.0;1.0283153116907862e-05;background3 > 0.615000
background3 <= 0.12;0.13449006077696396;background3;0.12;<=;0.69;106.0;0.0006331488804310892;background3 <= 0.690000
P > -0.17;0.13430516198580328;P;-0.17;>;0.7;131.0;0.001011239448087925;P > 0.700000
Ti kb > -0.32;0.13180840081539813;Ti kb;-0.32;>;11.63;21.0;0.004823369058857996;Ti kb > 11.630000
Ca kb <= 0.10;0.13172806322810957;Ca kb;0.10;<=;2.37;81.0;0.00023110844099574757;Ca kb <= 2.370000
background3 > -0.11;0.13172092234242547;background3;-0.11;>;0.69;93.0;0.0009256648210965585;background3 > 0.690000
Ti kb > -0.18;0.1314368225512691;Ti kb;-0.18;>;12.305;104.0;0.0006103080250647319;Ti kb > 12.305000
P > -0.13;0.12990765972626642;P;-0.13;>;0.86;109.0;0.00012028587645696032;P > 0.860000
Ca kb <= 0.22;0.12824807566961557;Ca kb;0.22;<=;2.4;147.0;0.002165009374607535;Ca kb <= 2.400000
Ti kb <= -0.32;0.12367311050844845;Ti kb;-0.32;<=;11.63;21.0;0.004823369058857996;Ti kb <= 11.630000
sum Fe > 0.20;0.11734998349541233;sum Fe;0.20;>;2.81;90.0;5.58337060496128e-05;sum Fe > 2.810000
sum Fe > 0.15;0.1013750102663636;sum Fe;0.15;>;2.71;126.0;0.0011763211600223367;sum Fe > 2.710000
sum Fe <= 0.15;0.07566341362762173;sum Fe;0.15;<=;2.71;126.0;0.0011763211600223367;sum Fe <= 2.710000
Cu > 0.15;0.06588507176960715;Cu;0.15;>;1.485;13.0;0.0016941081868842855;Cu > 1.485000
sum Fe <= 0.20;0.057605128893380916;sum Fe;0.20;<=;2.81;90.0;5.58337060496128e-05;sum Fe <= 2.810000
P <= 0.23;0.050283074300269515;P;0.23;<=;0.96;38.0;0.002634242494434197;P <= 0.960000
P <= -0.13;0.04635456818769068;P;-0.13;<=;0.86;109.0;0.00012028587645696032;P <= 0.860000
sum Fe > -0.12;0.045855427251064194;sum Fe;-0.12;>;2.6;116.0;0.00032048564305253713;sum Fe > 2.600000
sum Fe > -0.20;0.04542206181913299;sum Fe;-0.20;>;2.45;35.0;0.009822604066596685;sum Fe > 2.450000
S > 0.10;0.0431643922216952;S;0.10;>;0.785;82.0;4.346485589593052e-05;S > 0.785000
P <= 0.11;0.0410693795112344;P;0.11;<=;0.765;0.0;5.272961905652962e-06;P <= 0.765000
Rh L + Ar > 0.14;0.04024833053161614;Rh L + Ar;0.14;>;10.905;16.0;0.0003136258483623644;Rh L + Ar > 10.905000
Cu > 0.11;0.03906094750878787;Cu;0.11;>;1.51;92.0;0.0013862839794743648;Cu > 1.510000
Rh L + Ar <= -0.15;0.035663580685232704;Rh L + Ar;-0.15;<=;10.58;48.0;5.0439359081527746e-05;Rh L + Ar <= 10.580000
S > -0.09;0.032257767256724315;S;-0.09;>;0.755;77.0;0.0004233003821665082;S > 0.755000
Rh L + Ar > -0.10;0.0303197836627862;Rh L + Ar;-0.10;>;10.56;92.0;2.900149934328966e-05;Rh L + Ar > 10.560000
S <= 0.10;0.02928499224764068;S;0.10;<=;0.785;82.0;4.346485589593052e-05;S <= 0.785000
Cu <= -0.10;0.028662914430834734;Cu;-0.10;<=;1.425;2.0;0.0005983296703436503;Cu <= 1.425000
Rh L + Ar <= -0.10;0.02856454213691854;Rh L + Ar;-0.10;<=;10.56;92.0;2.900149934328966e-05;Rh L + Ar <= 10.560000
S > -0.13;0.02817201490705161;S;-0.13;>;0.71;42.0;0.0009671259633365903;S > 0.710000
Rh L + Ar > -0.15;0.027642290124341336;Rh L + Ar;-0.15;>;10.58;48.0;5.0439359081527746e-05;Rh L + Ar > 10.580000
Rh L + Ar <= 0.14;0.027138735961293257;Rh L + Ar;0.14;<=;10.905;16.0;0.0003136258483623644;Rh L + Ar <= 10.905000
Cu <= 0.11;0.027013517139615063;Cu;0.11;<=;1.51;92.0;0.0013862839794743648;Cu <= 1.510000
S <= 0.14;0.02663042424463158;S;0.14;<=;0.805;45.0;0.002054040611192409;S <= 0.805000
Cr <= -0.13;0.026556190402718328;Cr;-0.13;<=;2.52;115.0;3.448305582309796e-05;Cr <= 2.520000
Cu <= 0.15;0.02646523128948071;Cu;0.15;<=;1.485;13.0;0.0016941081868842855;Cu <= 1.485000
