Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
F1 > 0.22;8.595820567916235;F1;0.22;>;0.8837545044844024;135.0;0.00245411144034155;F1 > 0.883755
F1 > -0.69;6.336775513511409;F1;-0.69;>;0.11086079194034659;97.0;0.0010776026816768924;F1 > 0.110861
F1 > -0.71;4.727402983194802;F1;-0.71;>;-0.10774959133447803;51.0;0.0003902174696629457;F1 > -0.107750
F5 > 0.24;3.3093023875292413;F5;0.24;>;0.743186771310985;13.0;0.0014963330214480264;F5 > 0.743187
F5 > -0.52;2.8418474164004675;F5;-0.52;>;0.07843407777311504;200.0;0.00014708096474491672;F5 > 0.078434
F5 > 0.61;2.7971252873475603;F5;0.61;>;1.1019848437123494;78.0;0.0018676331055470508;F5 > 1.101985
F1 <= 0.83;2.5901737292987628;F1;0.83;<=;1.49689370938037;115.0;0.004549084280905058;F1 <= 1.496894
F5 > -0.54;2.496192590855223;F5;-0.54;>;0.07410722140965562;171.0;0.0003811203879503511;F5 > 0.074107
F5 <= 0.61;2.0763417322277524;F5;0.61;<=;1.1019848437123494;78.0;0.0018676331055470508;F5 <= 1.101985
F5 <= -0.52;1.6984641225723227;F5;-0.52;<=;0.07843407777311504;200.0;0.00014708096474491672;F5 <= 0.078434
F5 <= 0.24;1.332562098898861;F5;0.24;<=;0.743186771310985;13.0;0.0014963330214480264;F5 <= 0.743187
F4 > 0.18;0.910294510700463;F4;0.18;>;1.4233564676049948;77.0;0.0030351123613317488;F4 > 1.423356
F3 > 0.14;0.8724999707661294;F3;0.14;>;1.2575323304537975;123.0;0.0008063262352736578;F3 > 1.257532
F2 > 0.17;0.7563022424994292;F2;0.17;>;1.3166123347238265;0.0;0.003973950462766246;F2 > 1.316612
F1 <= 0.22;0.7182844930107282;F1;0.22;<=;0.8837545044844024;135.0;0.00245411144034155;F1 <= 0.883755
F6 > 0.13;0.7029463389663768;F6;0.13;>;1.1543109171777597;69.0;0.0016867416438364757;F6 > 1.154311
F4 > -0.24;0.6313672896277159;F4;-0.24;>;1.0343954234080135;8.0;4.059967661973474e-05;F4 > 1.034395
F3 <= -0.23;0.4875206407525712;F3;-0.23;<=;1.069705788012117;28.0;8.113983368976396e-05;F3 <= 1.069706
F4 > -0.47;0.4393825440333367;F4;-0.47;>;0.8133011819470725;206.0;0.0031489287955686063;F4 > 0.813301
F4 <= -0.24;0.43808217989756115;F4;-0.24;<=;1.0343954234080135;8.0;4.059967661973474e-05;F4 <= 1.034395
F2 > -0.23;0.40428487272033087;F2;-0.23;>;1.1822548190049362;202.0;0.0008252532476427377;F2 > 1.182255
F2 <= -0.23;0.40255354646346586;F2;-0.23;<=;1.1822548190049362;202.0;0.0008252532476427377;F2 <= 1.182255
F6 <= -0.25;0.39733195307432556;F6;-0.25;<=;1.0372652763387757;186.0;0.0002771953388586157;F6 <= 1.037265
F3 > -0.23;0.38869475260733644;F3;-0.23;>;1.069705788012117;28.0;8.113983368976396e-05;F3 > 1.069706
F4 <= 0.50;0.3809597989841407;F4;0.50;<=;1.748446584478764;68.0;0.0010520100182351833;F4 <= 1.748447
F2 > -0.45;0.3740061987724963;F2;-0.45;>;0.8051222113309489;193.0;0.0002010904038033945;F2 > 0.805122
F6 > -0.25;0.36927851328659134;F6;-0.25;>;1.0372652763387757;186.0;0.0002771953388586157;F6 > 1.037265
F1 <= -0.69;0.36132318156108495;F1;-0.69;<=;0.11086079194034659;97.0;0.0010776026816768924;F1 <= 0.110861
F3 <= 0.14;0.34286978952678815;F3;0.14;<=;1.2575323304537975;123.0;0.0008063262352736578;F3 <= 1.257532
F4 <= 0.18;0.3420591767383065;F4;0.18;<=;1.4233564676049948;77.0;0.0030351123613317488;F4 <= 1.423356
F2 <= 0.17;0.3287668902595259;F2;0.17;<=;1.3166123347238265;0.0;0.003973950462766246;F2 <= 1.316612
F3 > -0.43;0.32395378093195226;F3;-0.43;>;0.9609911546961708;181.0;0.0010199747234826417;F3 > 0.960991
F6 > -0.42;0.32207966479101535;F6;-0.42;>;0.8384059262705313;51.0;0.0005894530712042267;F6 > 0.838406
F3 <= 0.44;0.3102288232513754;F3;0.44;<=;1.637507470965764;108.0;0.003327383106117965;F3 <= 1.637507
F2 <= 0.40;0.28766507431422006;F2;0.40;<=;1.5369012451396111;104.0;0.002569425386524382;F2 <= 1.536901
F6 <= 0.13;0.22906544643079196;F6;0.13;<=;1.1543109171777597;69.0;0.0016867416438364757;F6 <= 1.154311
F6 <= 0.42;0.10547902600098577;F6;0.42;<=;1.5965945160165103;193.0;0.00039653416703372413;F6 <= 1.596595
background4 > 0.09;0.0013173995033211178;background4;0.09;>;0.0913145833205513;153.0;7.953406199519286e-05;background4 > 0.091315
background4 > 0.08;0.0011334037010696163;background4;0.08;>;0.0809932188372685;48.0;7.095558891778708e-05;background4 > 0.080993
background4 > -0.07;0.000919731001917613;background4;-0.07;>;0.07564014065879401;97.0;0.00017662847722668684;background4 > 0.075640
background4 > -0.09;0.0007429759254918898;background4;-0.09;>;-0.09026455883410413;161.0;0.0004651800138612827;background4 > -0.090265
background4 <= -0.07;0.0005510641262863577;background4;-0.07;<=;0.07564014065879401;97.0;0.00017662847722668684;background4 <= 0.075640
background4 <= 0.09;0.0005088080696078074;background4;0.09;<=;0.0913145833205513;153.0;7.953406199519286e-05;background4 <= 0.091315
background5 > 0.08;0.00042282529001875293;background5;0.08;>;0.0953246857555079;190.0;7.54292952038077e-05;background5 > 0.095325
background4 <= 0.08;0.0004042302303797756;background4;0.08;<=;0.0809932188372685;48.0;7.095558891778708e-05;background4 <= 0.080993
background6 <= -0.10;0.00034023746614926997;background6;-0.10;<=;0.09439341471926159;51.0;0.0003633388729457898;background6 <= 0.094393
background6 <= -0.09;0.0003342785202286613;background6;-0.09;<=;-0.08926150511287548;34.0;2.5300520547916205e-05;background6 <= -0.089262
background6 > 0.08;0.0003257927568093893;background6;0.08;>;0.08191383312014985;119.0;5.911761721666409e-05;background6 > 0.081914
background6 > -0.10;0.0003184124925590511;background6;-0.10;>;0.09439341471926159;51.0;0.0003633388729457898;background6 > 0.094393
background6 <= 0.10;0.0003143154218489254;background6;0.10;<=;0.09811567024621384;144.0;8.012146304250956e-05;background6 <= 0.098116
background6 <= 0.08;0.00031017017142635143;background6;0.08;<=;0.08191383312014985;119.0;5.911761721666409e-05;background6 <= 0.081914
background5 > -0.10;0.0003099688172862274;background5;-0.10;>;0.09839897351958182;68.0;7.849865405412659e-05;background5 > 0.098399
background6 > 0.10;0.00030257134123367615;background6;0.10;>;0.09811567024621384;144.0;8.012146304250956e-05;background6 > 0.098116
background5 <= -0.08;0.0002941367285293097;background5;-0.08;<=;0.08118811109610886;198.0;0.0003691146527865924;background5 <= 0.081188
background6 > -0.09;0.00029333089932471025;background6;-0.09;>;-0.08926150511287548;34.0;2.5300520547916205e-05;background6 > -0.089262
background5 > -0.08;0.00028874169364075455;background5;-0.08;>;0.08118811109610886;198.0;0.0003691146527865924;background5 > 0.081188
background5 <= 0.08;0.0002431643157372545;background5;0.08;<=;0.0953246857555079;190.0;7.54292952038077e-05;background5 <= 0.095325
background5 <= 0.10;0.00018982235917442292;background5;0.10;<=;0.09950408881841408;125.0;0.000584446783452347;background5 <= 0.099504
background1 > -0.08;0.00018837932889305805;background1;-0.08;>;-0.08039552775221362;199.0;7.909497300673252e-06;background1 > -0.080396
background3 > -0.09;0.0001847264515936389;background3;-0.09;>;-0.09021947311018756;66.0;5.513099923880327e-05;background3 > -0.090219
background1 > 0.08;0.00018314347593581995;background1;0.08;>;0.08051371266221703;138.0;4.088592486387044e-05;background1 > 0.080514
background3 > -0.08;0.00017936281813509883;background3;-0.08;>;-0.07901055259519649;154.0;2.8167298088160875e-05;background3 > -0.079011
background3 <= 0.07;0.00017876711203271942;background3;0.07;<=;-0.07102693411738883;112.0;3.9079061495944645e-05;background3 <= -0.071027
background3 <= 0.09;0.0001781401881231311;background3;0.09;<=;0.09083119606356399;165.0;0.00013008404315136002;background3 <= 0.090831
background3 <= -0.08;0.00017763225469899854;background3;-0.08;<=;-0.07901055259519649;154.0;2.8167298088160875e-05;background3 <= -0.079011
background3 > 0.07;0.0001695084260313126;background3;0.07;>;-0.07102693411738883;112.0;3.9079061495944645e-05;background3 > -0.071027
background3 <= -0.09;0.0001587827192140229;background3;-0.09;<=;-0.09021947311018756;66.0;5.513099923880327e-05;background3 <= -0.090219
background1 > -0.10;0.00015436312753553652;background1;-0.10;>;-0.0950644924047208;78.0;0.0005248134471556726;background1 > -0.095064
background1 <= 0.10;0.00012929077467391402;background1;0.10;<=;-0.09966624854035043;107.0;0.0001883247063667881;background1 <= -0.099666
background1 <= 0.08;0.0001041788331577808;background1;0.08;<=;0.08051371266221703;138.0;4.088592486387044e-05;background1 <= 0.080514
background1 <= -0.08;7.545151821247023e-05;background1;-0.08;<=;-0.08039552775221362;199.0;7.909497300673252e-06;background1 <= -0.080396
background2 > 0.07;3.490458808391794e-05;background2;0.07;>;0.07099546928995831;13.0;0.00019383405416914523;background2 > 0.070995
background2 <= -0.06;2.6136358263778085e-05;background2;-0.06;<=;-0.059567912736619856;141.0;1.707208660580578e-05;background2 <= -0.059568
background2 > -0.06;2.5663156939895705e-05;background2;-0.06;>;-0.059567912736619856;141.0;1.707208660580578e-05;background2 > -0.059568
background2 > -0.08;2.2444548471449268e-05;background2;-0.08;>;0.08274574942909878;145.0;0.000260835621520919;background2 > 0.082746
background2 <= 0.08;2.162915379477739e-05;background2;0.08;<=;0.08048324463141858;119.0;3.408528143263034e-05;background2 <= 0.080483
background2 <= 0.07;1.0320826216727144e-05;background2;0.07;<=;0.07099546928995831;13.0;0.00019383405416914523;background2 <= 0.070995
Class_B;0.0;;;;;;;
Class_A;0.0;;;;;;;
