energy;Permutation_importance_proba;Zone
2.663;0.0027490020215428243;Cl
17.535;0.002327420821958974;Mo rayleigh scattering
17.21;0.0017980116904323814;Mo compton scattering
1.753;0.0015401864998012993;Si
3.324;0.0012540506620612058;Ca ka
2.008;0.0008087548506331905;background1
6.371;0.000703459659571641;Fe ka
9.214;0.0007030777088316024;Ga
8.623;0.0005673033975907867;Zn ka
17.8;0.00030518208825430326;background7
8.063;0.0002537717181078032;Cu
7.512;0.00022391277152503754;Ni
14.132;0.00019401581662853952;background6
9.534;0.00018113945141770937;Zn kb
7.077;0.00016612627812553638;Fe kb
4.51;0.0001521234266096836;Ti
10.565;0.00015069432463004343;Pb La
10.274;0.00012674868475293332;background4
5.22;0.00011958821893021508;background3
11.886;0.0001183873748181834;background5
12.641;0.00011152695331525676;Pb Lb
3.944;8.295051573640345e-05;Ca kb
3.059;7.156388011879588e-05;background2
