SVM_pvector;Shap;Permutation;LRC_perturbation;LRC_covariance
Fe ka;Si;Fe ka;Si;Fe ka
Ca ka;Ca ka;Ca ka;Ca ka;Ca ka
Si;Fe ka;K;Fe ka;Si
K;K;Si;K;K
Ca kb;background4;Rh L + Ar;Rh L + Ar;Ti ka
Ti ka;Rh L + Ar;Ca kb;Ti ka;Ca kb
Fe kb;background3;Ti ka;Ca kb;Fe kb
Rh L + Ar;Compton scattering;Fe kb;Fe kb;Rh L + Ar
P;S;P;background4;Al
S;sum Fe;Mn;background3;Ti kb
sum Fe;Al;S;P;P
Al;Rayleight scattering;Al;Mn;Compton scattering
Ti kb;background2;sum Fe;Compton scattering;sum Fe
Ni;Ti kb;Ni;S;Rayleight scattering
Mn;background1;Ti kb;Al;Mn
Compton scattering;Ti ka;background3;sum Fe;background4
background3;Mn;Compton scattering;Rayleight scattering;S
Rayleight scattering;P;background4;Ni;Ni
background4;Ca kb;Rayleight scattering;Ti kb;background3
background1;Fe kb;;background2;background2
background2;Ni;background1;background1;background1
;;background2;;
