Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > -1.26;12.1284870162014;Fe ka;-1.26;>;12.69;104.0;0.00024271766699723862;Fe ka > 12.690000
Fe ka > -1.49;9.54164894316678;Fe ka;-1.49;>;11.85;133.0;0.001598635209913768;Fe ka > 11.850000
Fe ka > -0.89;6.567811578379912;Fe ka;-0.89;>;14.56;91.0;0.0026769585732066004;Fe ka > 14.560000
Ca ka <= 1.96;5.158010537536588;Ca ka;1.96;<=;60.85;61.0;0.012629937957785664;Ca ka <= 60.850000
Si > -0.73;4.717271161154462;Si;-0.73;>;7.71;127.0;0.007737464247996151;Si > 7.710000
Si > -1.10;4.688283432029257;Si;-1.10;>;6.35;79.0;0.00221094694332713;Si > 6.350000
K > -2.69;4.519207842283697;K;-2.69;>;111.52;106.0;0.01914987023331216;K > 111.520000
Ca ka <= 0.86;3.52345776990408;Ca ka;0.86;<=;53.67;82.0;0.0049691301478885785;Ca ka <= 53.670000
K <= 2.49;2.5268534235164712;K;2.49;<=;170.59;132.0;0.02913390994805276;K <= 170.590000
Si > -0.34;2.3510535215294537;Si;-0.34;>;8.74;99.0;0.007497190510132701;Si > 8.740000
K > -0.94;1.670258204078165;K;-0.94;>;135.89;51.0;0.00023100529005448678;K > 135.890000
Ti ka > -0.34;1.6279895171386254;Ti ka;-0.34;>;2.85;80.0;0.0027034397380144015;Ti ka > 2.850000
Ca ka > -2.11;1.5297288554750825;Ca ka;-2.11;>;34.8;28.0;0.009033188858947216;Ca ka > 34.800000
Ca ka <= -0.97;1.3194459784163068;Ca ka;-0.97;<=;52.85;84.0;0.008158735261081462;Ca ka <= 52.850000
Fe kb > -0.40;1.2948047976174262;Fe kb;-0.40;>;6.94;43.0;0.0001360267706321805;Fe kb > 6.940000
Rh L + Ar > -0.42;1.233375307286194;Rh L + Ar;-0.42;>;25.38;119.0;0.0029266907569617806;Rh L + Ar > 25.380000
Ca kb <= 0.31;1.209927239550114;Ca kb;0.31;<=;9.09;72.0;0.0043213282456426305;Ca kb <= 9.090000
