Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Si > -0.34;22.63579978387004;Si;-0.34;>;8.74;99.0;0.007497190510132701;Si > 8.740000
Si > -0.73;16.11568534825834;Si;-0.73;>;7.71;127.0;0.007737464247996151;Si > 7.710000
Si > -1.10;12.355093716839768;Si;-1.10;>;6.35;79.0;0.00221094694332713;Si > 6.350000
Ca ka <= -0.97;9.490833622316503;Ca ka;-0.97;<=;52.85;84.0;0.008158735261081462;Ca ka <= 52.850000
Ca ka <= 0.86;6.743805936794631;Ca ka;0.86;<=;53.67;82.0;0.0049691301478885785;Ca ka <= 53.670000
Ca ka <= 1.96;4.979217454049201;Ca ka;1.96;<=;60.85;61.0;0.012629937957785664;Ca ka <= 60.850000
Si <= 1.59;4.304300091412552;Si;1.59;<=;14.68;38.0;0.0020003101183447836;Si <= 14.680000
Fe ka > -0.89;3.609111866137589;Fe ka;-0.89;>;14.56;91.0;0.0026769585732066004;Fe ka > 14.560000
Fe ka > -1.26;2.6899323070081085;Fe ka;-1.26;>;12.69;104.0;0.00024271766699723862;Fe ka > 12.690000
Fe ka > -1.49;1.572084729803795;Fe ka;-1.49;>;11.85;133.0;0.001598635209913768;Fe ka > 11.850000
K > 0.94;1.1821522114515026;K;0.94;>;151.21;90.0;0.00259525685598172;K > 151.210000
Ca ka > -2.11;0.9979567926039313;Ca ka;-2.11;>;34.8;28.0;0.009033188858947216;Ca ka > 34.800000
Ca ka > 0.86;0.9373821404061672;Ca ka;0.86;>;53.67;82.0;0.0049691301478885785;Ca ka > 53.670000
Si <= -0.73;0.8828157522108897;Si;-0.73;<=;7.71;127.0;0.007737464247996151;Si <= 7.710000
K > -0.94;0.7810674233939081;K;-0.94;>;135.89;51.0;0.00023100529005448678;K > 135.890000
Ca ka > -0.97;0.7508177324006278;Ca ka;-0.97;>;52.85;84.0;0.008158735261081462;Ca ka > 52.850000
Rh L + Ar > -0.13;0.680474924713357;Rh L + Ar;-0.13;>;25.51;13.0;0.0054307137995689425;Rh L + Ar > 25.510000
K > -2.69;0.6216735749259364;K;-2.69;>;111.52;106.0;0.01914987023331216;K > 111.520000
Ti ka > -0.26;0.6149667451937841;Ti ka;-0.26;>;3.21;93.0;0.001651732956285512;Ti ka > 3.210000
Si <= -0.34;0.6071289599368842;Si;-0.34;<=;8.74;99.0;0.007497190510132701;Si <= 8.740000
K <= 2.49;0.6026964804060911;K;2.49;<=;170.59;132.0;0.02913390994805276;K <= 170.590000
K <= -0.94;0.5959016183505299;K;-0.94;<=;135.89;51.0;0.00023100529005448678;K <= 135.890000
Ca kb <= -0.30;0.5874732682668871;Ca kb;-0.30;<=;7.85;67.0;0.0027519157259952576;Ca kb <= 7.850000
Fe ka <= 0.50;0.5596536479508326;Fe ka;0.50;<=;19.91;16.0;0.05532091924519378;Fe ka <= 19.910000
Ca kb <= 0.31;0.5559741506411636;Ca kb;0.31;<=;9.09;72.0;0.0043213282456426305;Ca kb <= 9.090000
Fe kb > -0.23;0.5559614472026181;Fe kb;-0.23;>;6.92;38.0;0.0013691150444947453;Fe kb > 6.920000
Ti ka > -0.34;0.5533049849619656;Ti ka;-0.34;>;2.85;80.0;0.0027034397380144015;Ti ka > 2.850000
K <= 0.94;0.5402127422589651;K;0.94;<=;151.21;90.0;0.00259525685598172;K <= 151.210000
Ca kb <= 0.69;0.5242371419888786;Ca kb;0.69;<=;10.26;85.0;0.009587825072312484;Ca kb <= 10.260000
Rh L + Ar > -0.42;0.4919914036059041;Rh L + Ar;-0.42;>;25.38;119.0;0.0029266907569617806;Rh L + Ar > 25.380000
Fe ka <= -1.26;0.4764722767746855;Fe ka;-1.26;<=;12.69;104.0;0.00024271766699723862;Fe ka <= 12.690000
Fe kb > -0.31;0.44877839277182086;Fe kb;-0.31;>;6.81;127.0;0.0033359822534481665;Fe kb > 6.810000
Rh L + Ar > -0.78;0.4466541774737422;Rh L + Ar;-0.78;>;24.31;125.0;0.009478827035519055;Rh L + Ar > 24.310000
Ti ka > -0.40;0.4448559309608448;Ti ka;-0.40;>;2.84;68.0;0.0017696662945313468;Ti ka > 2.840000
Fe ka <= -1.49;0.43205563794992746;Fe ka;-1.49;<=;11.85;133.0;0.001598635209913768;Fe ka <= 11.850000
Fe kb > -0.40;0.36892210857340085;Fe kb;-0.40;>;6.94;43.0;0.0001360267706321805;Fe kb > 6.940000
Fe ka <= -0.89;0.28133596655647314;Fe ka;-0.89;<=;14.56;91.0;0.0026769585732066004;Fe ka <= 14.560000
Ca kb > -0.79;0.16709383593710542;Ca kb;-0.79;>;6.03;35.0;0.0021380847169933936;Ca kb > 6.030000
background4 <= -0.23;0.14930414255612612;background4;-0.23;<=;4.44;97.0;0.003920513499770156;background4 <= 4.440000
background3 <= -0.17;0.08375460056110394;background3;-0.17;<=;6.08;49.0;0.0009286776460056545;background3 <= 6.080000
Ca kb > 0.31;0.07496821614540913;Ca kb;0.31;>;9.09;72.0;0.0043213282456426305;Ca kb > 9.090000
background4 <= -0.17;0.074415402824352;background4;-0.17;<=;4.43;12.0;0.0005686580258211504;background4 <= 4.430000
