energy;Mean_Abs_SHAP;Zone
1.74;0.03935027060630577;Si
3.7;0.03116292584506538;Ca ka
6.42;0.028467786266324305;Fe ka
3.36;0.006872268211328014;K
15.71;0.0008801452965422581;background4
2.62;0.0008149560438367588;Rh L + Ar
4.06;0.0004041326820780811;Ca kb
10.67;0.00040112944253706137;background3
7.06;0.00035497494218514607;Fe kb
13.35;0.0;sum Fe
19.07;0.0;Compton scattering
20.25;0.0;Rayleight scattering
2.24;0.0;S
1.6;0.0;Al
4.78;0.0;Ti kb
5.08;0.0;background2
4.2;0.0;background1
4.38;0.0;Ti ka
5.94;0.0;Mn
2.1;0.0;P
20.81;0.0;
7.32;0.0;Ni
