Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ag La <= 2.83;20.74283295076053;Ag La;2.83;<=;255.0;58.0;0.0028609384126125903;Ag La <= 255.000000
Ag La <= 4.26;16.93717540499844;Ag La;4.26;<=;310.0;38.0;0.004827932698296067;Ag La <= 310.000000
Ag Lb <= 2.77;13.525411448632534;Ag Lb;2.77;<=;179.0;95.0;0.003991629551113984;Ag Lb <= 179.000000
Ag Lb <= 3.70;10.875784282287157;Ag Lb;3.70;<=;205.895;142.0;0.00023862092360626974;Ag Lb <= 205.895000
Ag La <= 5.23;8.385772715971362;Ag La;5.23;<=;300.0;236.0;0.002112731083268926;Ag La <= 300.000000
Ag Lb <= 4.33;5.384083318456028;Ag Lb;4.33;<=;195.579;13.0;0.006369212167973259;Ag Lb <= 195.579000
Ag ka > -3.39;4.300996797097107;Ag ka;-3.39;>;3452.0;29.0;0.008152425693626508;Ag ka > 3452.000000
Ag ka > 5.20;2.9306534323565026;Ag ka;5.20;>;3269.0;81.0;0.010629292004385782;Ag ka > 3269.000000
Ag ka <= 10.15;2.11940413059033;Ag ka;10.15;<=;3290.42;57.0;0.03512551949018494;Ag ka <= 3290.420000
Ag compton <= 3.09;1.0760304845762159;Ag compton;3.09;<=;707.789;40.0;0.0005392134560509021;Ag compton <= 707.789000
Bremsstrahlung <= 3.46;0.8896613290829076;Bremsstrahlung;3.46;<=;685.0;61.0;0.006385878093584374;Bremsstrahlung <= 685.000000
Ag ka > -7.93;0.7086782647383834;Ag ka;-7.93;>;3377.74;178.0;0.0313889553589064;Ag ka > 3377.740000
Zn > -1.89;0.6128028323099778;Zn;-1.89;>;42.7895;7.0;0.001592187243853349;Zn > 42.789500
Bremsstrahlung <= 3.06;0.6086419843594875;Bremsstrahlung;3.06;<=;675.0;164.0;0.0016140052366586666;Bremsstrahlung <= 675.000000
Ag compton <= 2.58;0.5816898329635969;Ag compton;2.58;<=;678.211;138.0;0.0009579593968442879;Ag compton <= 678.211000
Fe <= 2.10;0.5456055476277241;Fe;2.10;<=;21.7895;19.0;0.0006899345593858186;Fe <= 21.789500
Ag ka <= 5.20;0.5450531170763511;Ag ka;5.20;<=;3269.0;81.0;0.010629292004385782;Ag ka <= 3269.000000
Ag compton > -2.89;0.5393696125289522;Ag compton;-2.89;>;617.947;174.0;0.00801485647146949;Ag compton > 617.947000
Fe > -1.71;0.5364017855298743;Fe;-1.71;>;16.7368;210.0;0.0011917325628281183;Fe > 16.736800
Ca <= 1.99;0.494087118863203;Ca;1.99;<=;36.3684;117.0;0.0030364438532257676;Ca <= 36.368400
Ag ka <= -3.39;0.4075014161444233;Ag ka;-3.39;<=;3452.0;29.0;0.008152425693626508;Ag ka <= 3452.000000
Bremsstrahlung > -3.10;0.38039579261765294;Bremsstrahlung;-3.10;>;634.0;245.0;0.0008551155161087287;Bremsstrahlung > 634.000000
Ca <= 2.47;0.35129098013626076;Ca;2.47;<=;40.6842;164.0;0.0033417096236223465;Ca <= 40.684200
background <= 2.38;0.33714938543319684;background;2.38;<=;15.0;73.0;0.004027119119462075;background <= 15.000000
background <= 2.73;0.3363780602238331;background;2.73;<=;23.0526;83.0;0.004229954529160196;background <= 23.052600
Ag La > 2.83;0.3237951787020598;Ag La;2.83;>;255.0;58.0;0.0028609384126125903;Ag La > 255.000000
Ag compton <= -2.03;0.32049530699654055;Ag compton;-2.03;<=;641.421;251.0;0.0019209363615559916;Ag compton <= 641.421000
Ag compton > -2.03;0.31512164634275;Ag compton;-2.03;>;641.421;251.0;0.0019209363615559916;Ag compton > 641.421000
Ca > 1.99;0.31247852182064684;Ca;1.99;>;36.3684;117.0;0.0030364438532257676;Ca > 36.368400
Zn > -1.35;0.3054188876500096;Zn;-1.35;>;47.0;261.0;0.006346787413377797;Zn > 47.000000
Ag La > -8.20;0.2990861042867402;Ag La;-8.20;>;121.158;157.0;0.015815735856296698;Ag La > 121.158000
Fe > -1.30;0.29530793828359003;Fe;-1.30;>;16.8947;116.0;0.005584718203573091;Fe > 16.894700
Zn <= 2.28;0.28360977509514895;Zn;2.28;<=;46.2105;205.0;0.0016259806540328547;Zn <= 46.210500
Ag Lb > 2.77;0.2807242148115995;Ag Lb;2.77;>;179.0;95.0;0.003991629551113984;Ag Lb > 179.000000
Ca > -1.26;0.2772447181249203;Ca;-1.26;>;34.5263;54.0;0.02464983362251849;Ca > 34.526300
Cu > 2.01;0.27560952498470037;Cu;2.01;>;36.5263;103.0;0.0011164753089394353;Cu > 36.526300
Cu <= 2.01;0.27459982984068715;Cu;2.01;<=;36.5263;103.0;0.0011164753089394353;Cu <= 36.526300
Bremsstrahlung <= -2.45;0.2714759357553263;Bremsstrahlung;-2.45;<=;656.0;221.0;0.002542360458368087;Bremsstrahlung <= 656.000000
background <= 2.11;0.27094283145298126;background;2.11;<=;16.1053;36.0;0.0011093495565264178;background <= 16.105300
Bremsstrahlung > 3.06;0.26404414707567175;Bremsstrahlung;3.06;>;675.0;164.0;0.0016140052366586666;Bremsstrahlung > 675.000000
Fe <= 1.63;0.26367545238259527;Fe;1.63;<=;19.4737;250.0;0.002498503507289307;Fe <= 19.473700
Zn > 1.85;0.2598636196374964;Zn;1.85;>;44.2632;6.0;0.00030899051074806394;Zn > 44.263200
Zn <= 1.85;0.25964030168776703;Zn;1.85;<=;44.2632;6.0;0.00030899051074806394;Zn <= 44.263200
Cu > 2.35;0.24231324173120783;Cu;2.35;>;38.7895;220.0;0.00016356063545908128;Cu > 38.789500
Bremsstrahlung > -2.45;0.2389842587229727;Bremsstrahlung;-2.45;>;656.0;221.0;0.002542360458368087;Bremsstrahlung > 656.000000
Ca > -1.96;0.23613223597882674;Ca;-1.96;>;39.0526;159.0;0.001944186348186161;Ca > 39.052600
Ag Lb > -6.25;0.23373040231526676;Ag Lb;-6.25;>;89.6842;118.0;0.0008277142342318911;Ag Lb > 89.684200
background > -1.72;0.22911015048499067;background;-1.72;>;14.0;54.0;0.006250835458472936;background > 14.000000
Cu <= 2.35;0.2280036211787053;Cu;2.35;<=;38.7895;220.0;0.00016356063545908128;Cu <= 38.789500
Cu <= 2.71;0.22639031369792184;Cu;2.71;<=;33.1579;72.0;0.0025936571267828334;Cu <= 33.157900
Cu > -2.02;0.2145385592098909;Cu;-2.02;>;34.2105;235.0;0.0012456440969743632;Cu > 34.210500
background > 2.38;0.208563567342521;background;2.38;>;15.0;73.0;0.004027119119462075;background > 15.000000
Ag Lb > 3.70;0.206115663750945;Ag Lb;3.70;>;205.895;142.0;0.00023862092360626974;Ag Lb > 205.895000
Ag compton > 2.58;0.20047882467149739;Ag compton;2.58;>;678.211;138.0;0.0009579593968442879;Ag compton > 678.211000
background > 2.11;0.19932587050201048;background;2.11;>;16.1053;36.0;0.0011093495565264178;background > 16.105300
Ag La > 4.26;0.19382256210620177;Ag La;4.26;>;310.0;38.0;0.004827932698296067;Ag La > 310.000000
Zn <= -1.35;0.18661521303658926;Zn;-1.35;<=;47.0;261.0;0.006346787413377797;Zn <= 47.000000
Ca <= -1.26;0.1834228841480814;Ca;-1.26;<=;34.5263;54.0;0.02464983362251849;Ca <= 34.526300
Fe > 1.63;0.17887481948214876;Fe;1.63;>;19.4737;250.0;0.002498503507289307;Fe > 19.473700
Fe <= -1.30;0.17759264465615146;Fe;-1.30;<=;16.8947;116.0;0.005584718203573091;Fe <= 16.894700
Class_B;0.0;;;;;;;
Class_A;0.0;;;;;;;
