Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ca ka > -0.75;9.572507423625492;Ca ka;-0.75;>;2.11;133.0;0.0006202014806498957;Ca ka > 2.110000
Fe ka <= 1.45;5.579111457170016;Fe ka;1.45;<=;568.03;43.0;0.009341484771998365;Fe ka <= 568.030000
Fe ka <= 0.84;4.8744068131435485;Fe ka;0.84;<=;560.33;33.0;0.008882275678082974;Fe ka <= 560.330000
Ca ka > -0.47;4.279747659823147;Ca ka;-0.47;>;2.5;15.0;9.98355369408177e-05;Ca ka > 2.500000
Fe ka > -1.47;4.080876574283203;Fe ka;-1.47;>;541.4;129.0;0.01290683191070241;Fe ka > 541.400000
Ca ka <= 0.57;2.439777203556238;Ca ka;0.57;<=;4.345;45.0;0.007077233177421038;Ca ka <= 4.345000
Fe kb <= 0.57;2.1830456912649527;Fe kb;0.57;<=;82.7;43.0;0.0019459406958061143;Fe kb <= 82.700000
Mn > -0.33;1.5954708132984223;Mn;-0.33;>;4.31;66.0;0.00044313899754994113;Mn > 4.310000
Fe kb <= 0.34;1.5773376050872865;Fe kb;0.34;<=;82.69;42.0;0.00010720888678877882;Fe kb <= 82.690000
Fe ka > 0.84;1.5106180383418508;Fe ka;0.84;>;560.33;33.0;0.008882275678082974;Fe ka > 560.330000
Fe ka > -0.36;1.4885590093368508;Fe ka;-0.36;>;553.95;131.0;0.017159623148009673;Fe ka > 553.950000
Fe kb > -0.59;1.4232733215719595;Fe kb;-0.59;>;79.61;129.0;0.010625848034092944;Fe kb > 79.610000
Ti ka > 0.51;1.3600441945184396;Ti ka;0.51;>;61.5;83.0;0.00010314786208431848;Ti ka > 61.500000
Ca kb > -0.21;1.2483120702522679;Ca kb;-0.21;>;1.91;59.0;0.002270429292902526;Ca kb > 1.910000
Si > -0.36;1.1131356240246757;Si;-0.36;>;13.81;107.0;0.0016345712393944778;Si > 13.810000
Ti ka > -0.79;1.0079020213765966;Ti ka;-0.79;>;55.69;114.0;0.0018982896881487576;Ti ka > 55.690000
Mn > -0.23;1.0056080296839707;Mn;-0.23;>;4.31;111.0;1.9234430055997676e-05;Mn > 4.310000
Fe ka <= -0.36;1.0014879673742791;Fe ka;-0.36;<=;553.95;131.0;0.017159623148009673;Fe ka <= 553.950000
Ca ka > -0.21;0.9874854255607182;Ca ka;-0.21;>;3.15;118.0;0.003544391648966555;Ca ka > 3.150000
K > -0.21;0.9623569114187432;K;-0.21;>;1.7;139.0;0.0008348295510685333;K > 1.700000
Ti ka > -0.35;0.932661711882124;Ti ka;-0.35;>;59.355;26.0;0.0002764785205388032;Ti ka > 59.355000
Si > -0.19;0.9065348739370213;Si;-0.19;>;14.345;30.0;3.7417133738115727e-05;Si > 14.345000
K > -0.14;0.8835556136029024;K;-0.14;>;1.66;83.0;0.0010319100597947495;K > 1.660000
Fe kb > -0.21;0.8696076818476687;Fe kb;-0.21;>;79.34;12.0;8.119364363332049e-05;Fe kb > 79.340000
Ca kb > -0.17;0.8662714755212586;Ca kb;-0.17;>;2.16;121.0;0.0006302463703148631;Ca kb > 2.160000
Ca ka <= -0.21;0.8214739579354902;Ca ka;-0.21;<=;3.15;118.0;0.003544391648966555;Ca ka <= 3.150000
Ca kb <= 0.22;0.7982131474045217;Ca kb;0.22;<=;2.4;147.0;0.002165009374607535;Ca kb <= 2.400000
P > -0.17;0.7762513774513504;P;-0.17;>;0.7;131.0;0.001011239448087925;P > 0.700000
Ti ka <= -0.35;0.7637371395921496;Ti ka;-0.35;<=;59.355;26.0;0.0002764785205388032;Ti ka <= 59.355000
Mn > -0.12;0.761158735168418;Mn;-0.12;>;4.55;18.0;0.0018376143732244943;Mn > 4.550000
Si > 0.17;0.7532246612206924;Si;0.17;>;14.74;38.0;0.002453942196247866;Si > 14.740000
sum Fe <= 0.20;0.7332898722733339;sum Fe;0.20;<=;2.81;90.0;5.58337060496128e-05;sum Fe <= 2.810000
Al > -0.20;0.7166264166300833;Al;-0.20;>;5.995;114.0;0.0006051152400768922;Al > 5.995000
Al <= 0.23;0.7159731906224301;Al;0.23;<=;6.39;113.0;0.0014727824774989073;Al <= 6.390000
Fe kb > 0.34;0.7097504652001421;Fe kb;0.34;>;82.69;42.0;0.00010720888678877882;Fe kb > 82.690000
P <= 0.23;0.7040420637258875;P;0.23;<=;0.96;38.0;0.002634242494434197;P <= 0.960000
Ti ka <= 0.91;0.6987353197598138;Ti ka;0.91;<=;67.97;20.0;0.015486134009179087;Ti ka <= 67.970000
sum Fe <= 0.15;0.698650399702489;sum Fe;0.15;<=;2.71;126.0;0.0011763211600223367;sum Fe <= 2.710000
K > 0.09;0.6848488722732997;K;0.09;>;1.855;2.0;0.0010758205645776953;K > 1.855000
Ti ka <= 0.51;0.6755351923565251;Ti ka;0.51;<=;61.5;83.0;0.00010314786208431848;Ti ka <= 61.500000
Ti kb > -0.18;0.6425930614239893;Ti kb;-0.18;>;12.305;104.0;0.0006103080250647319;Ti kb > 12.305000
K <= 0.21;0.6413197596569777;K;0.21;<=;2.07;30.0;0.0026071885177107734;K <= 2.070000
Cr <= 0.19;0.6347174644195848;Cr;0.19;<=;2.69;36.0;6.425565985418435e-05;Cr <= 2.690000
Al <= 0.16;0.633134857191866;Al;0.16;<=;6.4;117.0;0.0011666894696659436;Al <= 6.400000
sum Fe > -0.20;0.6220941162378948;sum Fe;-0.20;>;2.45;35.0;0.009822604066596685;sum Fe > 2.450000
Fe kb <= -0.21;0.6175542644882739;Fe kb;-0.21;<=;79.34;12.0;8.119364363332049e-05;Fe kb <= 79.340000
P > -0.13;0.5980865696247445;P;-0.13;>;0.86;109.0;0.00012028587645696032;P > 0.860000
Mn <= 0.30;0.5932091741341926;Mn;0.30;<=;5.29;26.0;0.0014423352915683973;Mn <= 5.290000
Ti kb <= 0.37;0.5852900541250432;Ti kb;0.37;<=;13.41;62.0;9.052311726864826e-05;Ti kb <= 13.410000
Si <= 0.36;0.5603106445796765;Si;0.36;<=;16.245;28.0;0.001583806115308506;Si <= 16.245000
Ca kb > 0.10;0.5545143324317314;Ca kb;0.10;>;2.37;81.0;0.00023110844099574757;Ca kb > 2.370000
Cr > -0.16;0.5398683604157137;Cr;-0.16;>;2.39;41.0;0.00010433835525228141;Cr > 2.390000
Cr <= 0.13;0.5384889620510763;Cr;0.13;<=;2.51;94.0;0.0004590201019943896;Cr <= 2.510000
