Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ca ka > -0.21;16.51486382358526;Ca ka;-0.21;>;3.15;118.0;0.003544391648966555;Ca ka > 3.150000
Ca ka > -0.47;12.371298781661071;Ca ka;-0.47;>;2.5;15.0;9.98355369408177e-05;Ca ka > 2.500000
Ca ka > -0.75;9.63314174884616;Ca ka;-0.75;>;2.11;133.0;0.0006202014806498957;Ca ka > 2.110000
Ca ka <= -0.47;8.37675650182327;Ca ka;-0.47;<=;2.5;15.0;9.98355369408177e-05;Ca ka <= 2.500000
Ca ka <= -0.75;8.039368003455868;Ca ka;-0.75;<=;2.11;133.0;0.0006202014806498957;Ca ka <= 2.110000
Ca ka <= 0.57;7.456671638208141;Ca ka;0.57;<=;4.345;45.0;0.007077233177421038;Ca ka <= 4.345000
Fe ka <= -0.36;6.971313437163076;Fe ka;-0.36;<=;553.95;131.0;0.017159623148009673;Fe ka <= 553.950000
Ca ka <= -0.21;5.8840609607166074;Ca ka;-0.21;<=;3.15;118.0;0.003544391648966555;Ca ka <= 3.150000
Fe ka <= 0.84;4.719386803337058;Fe ka;0.84;<=;560.33;33.0;0.008882275678082974;Fe ka <= 560.330000
Fe ka <= 1.45;3.4245052787535633;Fe ka;1.45;<=;568.03;43.0;0.009341484771998365;Fe ka <= 568.030000
Ti ka > 0.51;2.670833076298953;Ti ka;0.51;>;61.5;83.0;0.00010314786208431848;Ti ka > 61.500000
Fe ka > 0.84;2.1594562141118394;Fe ka;0.84;>;560.33;33.0;0.008882275678082974;Fe ka > 560.330000
Fe ka > -1.47;2.1274732900491204;Fe ka;-1.47;>;541.4;129.0;0.01290683191070241;Fe ka > 541.400000
Fe ka > -0.36;1.7172785233673724;Fe ka;-0.36;>;553.95;131.0;0.017159623148009673;Fe ka > 553.950000
Ti ka > -0.35;1.6576837454293123;Ti ka;-0.35;>;59.355;26.0;0.0002764785205388032;Ti ka > 59.355000
Ti ka <= -0.35;1.498728768654718;Ti ka;-0.35;<=;59.355;26.0;0.0002764785205388032;Ti ka <= 59.355000
Ti ka > -0.79;1.4181682765110972;Ti ka;-0.79;>;55.69;114.0;0.0018982896881487576;Ti ka > 55.690000
Si > 0.17;1.1485136848947142;Si;0.17;>;14.74;38.0;0.002453942196247866;Si > 14.740000
Ti ka <= 0.91;1.1386703452827818;Ti ka;0.91;<=;67.97;20.0;0.015486134009179087;Ti ka <= 67.970000
Ti ka <= 0.51;1.0833659941138882;Ti ka;0.51;<=;61.5;83.0;0.00010314786208431848;Ti ka <= 61.500000
Si <= -0.36;0.9639305858544035;Si;-0.36;<=;13.81;107.0;0.0016345712393944778;Si <= 13.810000
Mn > -0.12;0.9112663999751142;Mn;-0.12;>;4.55;18.0;0.0018376143732244943;Mn > 4.550000
Si > -0.19;0.7752780147560334;Si;-0.19;>;14.345;30.0;3.7417133738115727e-05;Si > 14.345000
Fe kb <= -0.59;0.7334231079482637;Fe kb;-0.59;<=;79.61;129.0;0.010625848034092944;Fe kb <= 79.610000
Si > -0.36;0.6993698741677437;Si;-0.36;>;13.81;107.0;0.0016345712393944778;Si > 13.810000
Mn > -0.23;0.6703434990689309;Mn;-0.23;>;4.31;111.0;1.9234430055997676e-05;Mn > 4.310000
Fe kb > 0.34;0.646105176177662;Fe kb;0.34;>;82.69;42.0;0.00010720888678877882;Fe kb > 82.690000
Fe kb <= -0.21;0.581772592862362;Fe kb;-0.21;<=;79.34;12.0;8.119364363332049e-05;Fe kb <= 79.340000
Fe kb <= 0.34;0.5635221887038495;Fe kb;0.34;<=;82.69;42.0;0.00010720888678877882;Fe kb <= 82.690000
Si <= -0.19;0.5471951599670856;Si;-0.19;<=;14.345;30.0;3.7417133738115727e-05;Si <= 14.345000
Fe kb > -0.21;0.5468105150280018;Fe kb;-0.21;>;79.34;12.0;8.119364363332049e-05;Fe kb > 79.340000
Fe kb > -0.59;0.5448835256129263;Fe kb;-0.59;>;79.61;129.0;0.010625848034092944;Fe kb > 79.610000
Mn > -0.33;0.5022718687298446;Mn;-0.33;>;4.31;66.0;0.00044313899754994113;Mn > 4.310000
Si <= 0.36;0.4891376627448264;Si;0.36;<=;16.245;28.0;0.001583806115308506;Si <= 16.245000
Fe kb <= 0.57;0.46507384138256136;Fe kb;0.57;<=;82.7;43.0;0.0019459406958061143;Fe kb <= 82.700000
Ti kb <= -0.32;0.4227820891061137;Ti kb;-0.32;<=;11.63;21.0;0.004823369058857996;Ti kb <= 11.630000
Si <= 0.17;0.4143898509228225;Si;0.17;<=;14.74;38.0;0.002453942196247866;Si <= 14.740000
