energy;Mean_Abs_SHAP;Zone
3.7;0.046543535891494826;Ca ka
6.44;0.015117721795752388;Fe ka
4.52;0.008670313305136302;Ti ka
1.74;0.004440219255895647;Si
5.92;0.001311755672447629;Mn
7.12;0.0002001641094047299;Fe kb
7.92;0.000197937310458574;Cu
11.58;0.00018559740269051924;background12
12.92;0.00017986360920547493;sum Fe
2.04;0.00015927898101381473;P
7.32;0.0001417754451633183;background10
1.54;0.00012438328920130534;Al
4.02;3.818607565255641e-06;Ca kb
10.68;0.0;background11
10.86;0.0;Fe ka + Ti ka
13.74;0.0;background13
1.22;0.0;background1
3.24;0.0;K
3.44;0.0;background5
2.84;0.0;Rh L + Ar
3.1;0.0;background4
4.3;0.0;background6
4.68;0.0;background7
4.76;0.0;Ti kb
2.2;0.0;S
2.44;0.0;background3
2.1;0.0;background2
5.28;0.0;Cr
6.68;0.0;background9
6.02;0.0;background8
