Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > 2.31;29.464645582931638;Fe ka;2.31;>;509.11;222.0;0.0007451994644029902;Fe ka > 509.110000
Fe ka > -2.33;24.524541448401312;Fe ka;-2.33;>;424.2336195;256.0;0.003110759029747001;Fe ka > 424.233619
Fe ka <= -2.33;20.254740135856817;Fe ka;-2.33;<=;424.2336195;256.0;0.003110759029747001;Fe ka <= 424.233619
Fe ka > -3.67;15.862018448662246;Fe ka;-3.67;>;385.8658863;247.0;0.0016449941880498642;Fe ka > 385.865886
Fe ka <= 4.59;10.051391558368756;Fe ka;4.59;<=;563.19;208.0;0.0026156569389996775;Fe ka <= 563.190000
Fe ka <= 2.31;3.2914275462763367;Fe ka;2.31;<=;509.11;222.0;0.0007451994644029902;Fe ka <= 509.110000
Ti ka <= -0.34;0.5220924052987932;Ti ka;-0.34;<=;56.63454588;354.0;0.0018647274920995938;Ti ka <= 56.634546
Ti ka <= 0.94;0.4433491844683156;Ti ka;0.94;<=;58.59;2.0;0.00011413554580341767;Ti ka <= 58.590000
Ti ka > 0.47;0.43885096003248025;Ti ka;0.47;>;59.94725842;453.0;0.0002516977984650115;Ti ka > 59.947258
Ti ka > -0.83;0.3973800927103989;Ti ka;-0.83;>;52.09896814;260.0;0.0010938984268936691;Ti ka > 52.098968
Ti ka <= 0.47;0.39538233478278717;Ti ka;0.47;<=;59.94725842;453.0;0.0002516977984650115;Ti ka <= 59.947258
Ti ka > -0.34;0.3425397606147286;Ti ka;-0.34;>;56.63454588;354.0;0.0018647274920995938;Ti ka > 56.634546
Fe kb > 0.86;0.3301049827339543;Fe kb;0.86;>;71.87710947;62.0;0.0017095025966812338;Fe kb > 71.877109
Ca ka > -0.20;0.3208661507650308;Ca ka;-0.20;>;3.316682823;435.0;0.000506368010422531;Ca ka > 3.316683
Fe kb <= -0.85;0.31309165821750595;Fe kb;-0.85;<=;62.2003286;297.0;0.0013135238298213059;Fe kb <= 62.200329
Fe kb <= 0.86;0.27628673010648075;Fe kb;0.86;<=;71.87710947;62.0;0.0017095025966812338;Fe kb <= 71.877109
Fe kb > -0.85;0.2600029597952952;Fe kb;-0.85;>;62.2003286;297.0;0.0013135238298213059;Fe kb > 62.200329
K > 0.08;0.25227044448773445;K;0.08;>;1.88;184.0;0.000758328798061994;K > 1.880000
Fe kb <= 1.69;0.24886841180619815;Fe kb;1.69;<=;82.54;177.0;0.0010204220798120112;Fe kb <= 82.540000
Fe kb > -1.34;0.23714611989308357;Fe kb;-1.34;>;64.00529582;490.0;3.546886153160678e-05;Fe kb > 64.005296
Ca ka > -0.55;0.23640937695638664;Ca ka;-0.55;>;2.595143213;458.0;0.0014521419870086039;Ca ka > 2.595143
Ca ka > -0.82;0.20425773152914592;Ca ka;-0.82;>;2.21;181.0;2.4130166893843175e-05;Ca ka > 2.210000
K > -0.13;0.19141742669624584;K;-0.13;>;1.727043643;317.0;0.00018269609801924158;K > 1.727044
Si > 0.18;0.146829959721214;Si;0.18;>;13.78;25.0;0.003704562687939117;Si > 13.780000
Ca kb <= 0.26;0.13414698771742617;Ca kb;0.26;<=;2.5;87.0;7.798527638058772e-05;Ca kb <= 2.500000
Ca kb <= -0.17;0.12873362016234402;Ca kb;-0.17;<=;2.033083337;479.0;0.0002342186254530032;Ca kb <= 2.033083
Ca kb <= 0.16;0.11404653789752545;Ca kb;0.16;<=;2.175;118.0;7.994484332765617e-05;Ca kb <= 2.175000
K > -0.20;0.11121656701741929;K;-0.20;>;1.79;204.0;0.00010489780267913806;K > 1.790000
P > -0.19;0.0853749275719974;P;-0.19;>;0.616478615;307.0;3.363526307509357e-05;P > 0.616479
P > -0.13;0.0669675107703142;P;-0.13;>;0.688302649;89.0;9.144955302720081e-05;P > 0.688303
background1 > 0.12;0.06558677516320678;background1;0.12;>;0.905;74.0;1.7336899355457902e-05;background1 > 0.905000
Si > -0.25;0.06315093008731502;Si;-0.25;>;12.46232561;403.0;0.0018783594232392176;Si > 12.462326
background2 > 0.12;0.05650570189113491;background2;0.12;>;0.647306963;442.0;0.0005885872769839651;background2 > 0.647307
Ca ka <= 0.75;0.05597852076779803;Ca ka;0.75;<=;4.940789999;57.0;0.002992189309412252;Ca ka <= 4.940790
background1 <= -0.12;0.05270033708793928;background1;-0.12;<=;0.86663485;324.0;7.804538701750019e-05;background1 <= 0.866635
Al > 0.15;0.051742018911261525;Al;0.15;>;5.796415159;372.0;3.1909583234318584e-05;Al > 5.796415
Al <= 0.30;0.0513175684615314;Al;0.30;<=;6.22;31.0;0.00013595653614079106;Al <= 6.220000
Ca kb > -0.25;0.05095093355678091;Ca kb;-0.25;>;2.17;71.0;0.00010234292871436068;Ca kb > 2.170000
Rh L + Ar > -0.26;0.0503233297307672;Rh L + Ar;-0.26;>;9.249429698;455.0;0.00035268473366412145;Rh L + Ar > 9.249430
Mn > -0.33;0.04971300289568089;Mn;-0.33;>;3.314769208;275.0;0.0005158063577412331;Mn > 3.314769
Rh L + Ar <= 0.36;0.048496213104019165;Rh L + Ar;0.36;<=;10.19;220.0;0.0005266151655142215;Rh L + Ar <= 10.190000
background1 > -0.12;0.04813759154480427;background1;-0.12;>;0.86663485;324.0;7.804538701750019e-05;background1 > 0.866635
Rh L + Ar > 0.27;0.047993621254645305;Rh L + Ar;0.27;>;10.12196012;27.0;0.0018092996769518699;Rh L + Ar > 10.121960
Al <= -0.14;0.04797995878062266;Al;-0.14;<=;5.498797514;490.0;0.00025907061766072825;Al <= 5.498798
background2 <= -0.12;0.04719946260919187;background2;-0.12;<=;0.658530692;260.0;6.291768518262852e-05;background2 <= 0.658531
Ca ka <= -0.20;0.046356743206035264;Ca ka;-0.20;<=;3.316682823;435.0;0.000506368010422531;Ca ka <= 3.316683
Ca ka <= -0.55;0.04600223891746747;Ca ka;-0.55;<=;2.595143213;458.0;0.0014521419870086039;Ca ka <= 2.595143
background1 > -0.16;0.04540490035558264;background1;-0.16;>;0.805430855;9.0;0.00028608146512967836;background1 > 0.805431
background1 <= 0.18;0.045358905842230124;background1;0.18;<=;0.973006852;445.0;1.1224665331599493e-05;background1 <= 0.973007
Mn > -0.47;0.04511078335002182;Mn;-0.47;>;3.049155942;391.0;0.0005453992700250598;Mn > 3.049156
S > 0.10;0.04490453171059777;S;0.10;>;0.785;46.0;6.540897336029805e-05;S > 0.785000
background1 <= 0.12;0.044888998221696244;background1;0.12;<=;0.905;74.0;1.7336899355457902e-05;background1 <= 0.905000
Al <= 0.15;0.04426498247010556;Al;0.15;<=;5.796415159;372.0;3.1909583234318584e-05;Al <= 5.796415
Si <= 0.18;0.04414271661510406;Si;0.18;<=;13.78;25.0;0.003704562687939117;Si <= 13.780000
Mn > 0.21;0.04327714585696762;Mn;0.21;>;4.236424186;123.0;0.0002107705587806319;Mn > 4.236424
Rh L + Ar > -0.20;0.04258589905051316;Rh L + Ar;-0.20;>;9.281560966;317.0;4.2336550503840886e-05;Rh L + Ar > 9.281561
Si > -0.45;0.04141796396283021;Si;-0.45;>;12.12996608;241.0;0.00023211461837374658;Si > 12.129966
P <= 0.15;0.04001086793797034;P;0.15;<=;0.730110878;269.0;0.000587461449139487;P <= 0.730111
Zn <= -0.14;0.03999577527565948;Zn;-0.14;<=;0.891136066;312.0;0.00021046824945170073;Zn <= 0.891136
P <= 0.25;0.03866071875382447;P;0.25;<=;0.7213228;325.0;0.0003258677678883437;P <= 0.721323
sum Fe <= -0.26;0.03640578878128489;sum Fe;-0.26;<=;1.70718116;451.0;7.4483728209617794e-06;sum Fe <= 1.707181
Mn <= -0.33;0.03117006730103996;Mn;-0.33;<=;3.314769208;275.0;0.0005158063577412331;Mn <= 3.314769
sum Fe <= 0.50;0.030790560597005072;sum Fe;0.50;<=;2.525;70.0;0.0005494116076896205;sum Fe <= 2.525000
Cr <= 0.17;0.030394649652621265;Cr;0.17;<=;2.25;139.0;0.0001660271746458386;Cr <= 2.250000
Mn <= 0.21;0.030367282750099985;Mn;0.21;<=;4.236424186;123.0;0.0002107705587806319;Mn <= 4.236424
Rh L + Ar <= -0.20;0.03026711569727437;Rh L + Ar;-0.20;<=;9.281560966;317.0;4.2336550503840886e-05;Rh L + Ar <= 9.281561
Cr > -0.26;0.02906797504806357;Cr;-0.26;>;1.810134333;348.0;0.0014947668641935863;Cr > 1.810134
background2 > -0.12;0.028878737511587736;background2;-0.12;>;0.658530692;260.0;6.291768518262852e-05;background2 > 0.658531
Ti kb <= 0.23;0.028521494676352274;Ti kb;0.23;<=;11.90750549;39.0;0.0014925843676727168;Ti kb <= 11.907505
Al > -0.14;0.028340002575286377;Al;-0.14;>;5.498797514;490.0;0.00025907061766072825;Al > 5.498798
Ti kb > -0.23;0.028270098336508787;Ti kb;-0.23;>;10.69504405;472.0;6.877977192584761e-05;Ti kb > 10.695044
Ti kb > -0.43;0.02772093959617742;Ti kb;-0.43;>;10.36117628;316.0;0.0009177501030059321;Ti kb > 10.361176
Rh L + Ar <= 0.27;0.02760383721294742;Rh L + Ar;0.27;<=;10.12196012;27.0;0.0018092996769518699;Rh L + Ar <= 10.121960
Ti kb > 0.23;0.027591165605531563;Ti kb;0.23;>;11.90750549;39.0;0.0014925843676727168;Ti kb > 11.907505
Mn <= 0.45;0.027384935029422748;Mn;0.45;<=;4.81;167.0;0.001766072257986362;Mn <= 4.810000
Al > -0.27;0.027130845176788314;Al;-0.27;>;5.0;42.0;0.0012567062728310319;Al > 5.000000
Cr <= -0.17;0.02704958904299392;Cr;-0.17;<=;1.923858093;437.0;4.730006195016734e-05;Cr <= 1.923858
