energy;Reg_coef;Abs_Reg_coef;Zone
6.391;7.683617229156296e-05;7.683617229156296e-05;Fe ka
3.324;6.812937299172465e-05;6.812937299172465e-05;K
8.643;-3.1640521022936995e-05;3.1640521022936995e-05;Zn ka
17.025;2.7542632444583308e-05;2.7542632444583308e-05;Mo compton scattering
8.018;-2.6957662530398717e-05;2.6957662530398717e-05;Cu
7.047;2.6164957397365263e-05;2.6164957397365263e-05;Fe kb
3.589;2.3090239017841927e-05;2.3090239017841927e-05;Ca
7.467;-1.6900600785835978e-05;1.6900600785835978e-05;Ni
1.758;1.6794393350130766e-05;1.6794393350130766e-05;Si
17.225;1.604986778179814e-05;1.604986778179814e-05;Mo rayleigh scattering
9.244;1.5945508250569317e-05;1.5945508250569317e-05;Ga
13.377;1.496407726685876e-05;1.496407726685876e-05;background5
9.564;-1.1154911618937982e-05;1.1154911618937982e-05;Zn kb
20.007;7.131227416581026e-06;7.131227416581026e-06;background6
10.284;6.918994763965066e-06;6.918994763965066e-06;background3
2.008;-6.668095585709888e-06;6.668095585709888e-06;background1
10.525;-6.440226080517374e-06;6.440226080517374e-06;Pb La
2.573;-6.230894967095503e-06;6.230894967095503e-06;Cl
3.999;6.130561379648883e-06;6.130561379648883e-06;
12.581;-4.46390569994211e-06;4.46390569994211e-06;Pb Lb
3.129;4.250750516827314e-06;4.250750516827314e-06;background2
11.846;-3.208848646128988e-06;3.208848646128988e-06;background4
