energy;VIP_Score;Zone
2.623;5.33290365879983;Cl
6.391;4.394562788169555;Fe ka
3.324;4.138549395466189;K
8.023;3.3521578097339235;Cu
8.623;2.7353778407217044;Zn ka
17.025;1.9787055572193328;Mo compton scattering
17.42;1.9623634696447427;Mo rayleigh scattering
7.467;1.5346787104653978;Ni
7.047;1.4908572375077644;Fe kb
3.589;1.3958705510709717;Ca
1.748;1.1372733511757025;Si
9.564;0.9444755881850285;Zn kb
9.244;0.901580251872827;Ga
13.377;0.8743918318420395;background5
10.525;0.6749140814970103;Pb La
2.008;0.6699616537432735;background1
12.581;0.498250725238779;Pb Lb
20.007;0.40724396103081967;background6
10.284;0.38874976266689815;background3
3.999;0.35982205307091397;
3.129;0.2443650990749992;background2
11.846;0.22303325651883923;background4
