energy;Mean_Abs_SHAP;Zone
3.7;0.02590066315199982;Ca ka
5.9;0.0141610354292257;Mn
6.42;0.011238456939685929;Fe ka
1.74;0.011152387616330774;Si
4.46;0.0058773587015273285;Ti ka
4;0.0002602987526040748;Ca kb
7.02;6.255985661931098e-05;Fe kb
2.04;4.581022589358758e-05;P
3.3;2.952640179818797e-05;K
12.26;1.2746609939303449e-05;background12
10.46;0.0;background11
10.74;0.0;Fe ka + Ti ka
13.74;0.0;background13
1.22;0.0;background1
12.88;0.0;sum Fe
3.2;0.0;background4
8;0.0;Cu
3.44;0.0;background5
2.8;0.0;Rh L + Ar
4.26;0.0;background6
4.68;0.0;background7
4.76;0.0;Ti kb
3.86;0.0;
1.58;0.0;Al
2.2;0.0;S
2.46;0.0;background3
2.12;0.0;background2
7.32;0.0;background10
5.28;0.0;Cr
6.7;0.0;background9
6.06;0.0;background8
