Seed;Rank;Fitness_RBO_Score;Agregador;Metric;N_Bags;Frac_Samples_per_Bag;Frac_Min_Samples_per_Predicate;Replacement
0;1;0.918919081;median;covariance;200;0.839112336;0.22822218;TRUE
0;2;0.91699748;median;covariance;200;0.839112336;0.114789575;FALSE
0;3;0.908867094;median;covariance;200;0.839112336;0.249967932;FALSE
0;4;0.90691328;median;covariance;88;0.839112336;0.114789575;FALSE
0;5;0.90355188;sum;covariance;29;0.76607397;0.152909099;TRUE
0;6;0.902559267;median;covariance;62;0.839112336;0.114789575;FALSE
0;7;0.893250486;median;covariance;29;0.546398159;0.152909099;TRUE
0;8;0.891067481;median;covariance;200;0.839112336;0.176429026;FALSE
0;9;0.881410867;max;covariance;68;0.868556765;0.21129924;TRUE
0;10;0.881410867;max;covariance;162;0.868556765;0.163426043;FALSE
0;11;0.879489267;max;covariance;162;0.868556765;0.056162504;FALSE
0;12;0.879489267;max;covariance;68;0.868556765;0.058243104;FALSE
0;13;0.87640098;median;covariance;200;0.838650808;0.114789575;FALSE
0;14;0.875190372;median;covariance;200;0.839112336;0.109062382;FALSE
0;15;0.873280481;max;covariance;200;0.839112336;0.088572823;FALSE
0;16;0.873280481;max;covariance;200;0.839112336;0.114789575;FALSE
0;17;0.873007367;max;covariance;113;0.734172379;0.056321599;TRUE
0;18;0.87135888;max;covariance;162;0.868556765;0.152909099;FALSE
0;19;0.87135888;max;covariance;200;0.879572772;0.114789575;FALSE
0;20;0.870148272;max;covariance;50;0.738716557;0.122772668;TRUE
1;1;0.928489267;sum;covariance;145;0.571031244;0.126756157;FALSE
1;2;0.92540098;sum;covariance;46;0.571031244;0.081420831;TRUE
1;3;0.92347938;sum;covariance;59;0.571031244;0.081420831;FALSE
1;4;0.922268772;sum;covariance;108;0.571031244;0.081420831;FALSE
1;5;0.922268772;sum;covariance;145;0.629349873;0.180744862;FALSE
1;6;0.922268772;sum;covariance;145;0.667986616;0.081420831;FALSE
1;7;0.919148272;sum;covariance;62;0.571031244;0.081420831;FALSE
1;8;0.919148272;sum;covariance;138;0.571031244;0.135112919;FALSE
1;9;0.918875158;sum;covariance;125;0.571031244;0.081420831;FALSE
1;10;0.917226672;sum;covariance;121;0.571031244;0.081420831;FALSE
1;11;0.91699748;sum;covariance;145;0.553237622;0.081420831;FALSE
1;12;0.91699748;sum;covariance;145;0.664438649;0.081420831;FALSE
1;13;0.916965267;sum;covariance;95;0.571031244;0.081420831;FALSE
1;14;0.916059986;sum;covariance;141;0.571031244;0.081420831;FALSE
1;15;0.915786872;sum;covariance;149;0.571031244;0.081420831;FALSE
1;16;0.915786872;sum;covariance;145;0.571031244;0.081420831;FALSE
1;17;0.913865272;sum;covariance;113;0.571031244;0.081420831;FALSE
1;18;0.912927777;sum;covariance;145;0.571031244;0.190089183;TRUE
1;19;0.91195538;sum;covariance;120;0.571031244;0.081420831;FALSE
1;20;0.91195538;sum;covariance;145;0.592107646;0.081420831;FALSE
42;1;0.92540098;sum;covariance;174;0.561122107;0.103488219;FALSE
42;2;0.922268772;sum;covariance;122;0.561122107;0.103488219;FALSE
42;3;0.921569489;sum;covariance;50;0.561122107;0.103488219;TRUE
42;4;0.919148272;sum;covariance;86;0.563021241;0.103488219;FALSE
42;5;0.915786872;sum;covariance;48;0.561122107;0.103488219;FALSE
42;6;0.915786872;sum;covariance;174;0.561122107;0.089156647;FALSE
42;7;0.91195538;sum;covariance;174;0.53635901;0.073128407;FALSE
42;8;0.91195538;sum;covariance;125;0.561122107;0.098365221;FALSE
42;9;0.910744772;sum;covariance;174;0.561122107;0.103488219;TRUE
42;10;0.905734886;sum;covariance;103;0.561122107;0.103488219;FALSE
42;11;0.903824994;sum;covariance;58;0.561122107;0.103488219;FALSE
42;12;0.900692786;sum;covariance;36;0.524018927;0.195572009;FALSE
42;13;0.900692786;sum;covariance;47;0.561122107;0.209976914;FALSE
42;14;0.899459272;sum;covariance;53;0.561122107;0.103488219;FALSE
42;15;0.879489267;sum;covariance;174;0.561122107;0.087167751;FALSE
42;16;0.879489267;sum;covariance;197;0.633410376;0.103488219;FALSE
42;17;0.878322581;max;covariance;174;0.561122107;0.103488219;TRUE
42;18;0.878322581;max;covariance;197;0.561122107;0.103488219;TRUE
42;19;0.876368767;sum;covariance;174;0.563559093;0.103488219;FALSE
42;20;0.871085767;sum;covariance;174;0.561122107;0.095551211;FALSE
