Method_1;Method_2;RBO_Score;Model
Reg_Coefficient;LRC_perturbation;0.9264177855133334;PLS
Shap;LRC_perturbation;0.90979556876;PLS
Shap;Permutation;0.90092656876;PLS
Reg_Coefficient;Shap;0.8913400821766667;PLS
Permutation;LRC_perturbation;0.8725694885166665;PLS
Reg_Coefficient;Permutation;0.8617447720966667;PLS
VIP_Score;LRC_covariance;0.7949429751;PLS
Permutation;LRC_covariance;0.4238832855133332;PLS
Shap;LRC_covariance;0.4207510769699999;PLS
LRC_perturbation;LRC_covariance;0.4082102720966666;PLS
Reg_Coefficient;LRC_covariance;0.3640861907199999;PLS
VIP_Score;Permutation;0.3416927855133332;PLS
VIP_Score;Shap;0.2895605769699999;PLS
VIP_Score;LRC_perturbation;0.2770197720966666;PLS
VIP_Score;Reg_Coefficient;0.23289569072;PLS
SVM_pvector;LRC_covariance;0.9395580583466668;SVM
Shap;LRC_perturbation;0.91179379072;SVM
SVM_pvector;Permutation;0.78869026689;SVM
Permutation;LRC_covariance;0.7771545583466667;SVM
SVM_pvector;LRC_perturbation;0.5573675583466666;SVM
LRC_perturbation;LRC_covariance;0.5345580583466667;SVM
Shap;LRC_covariance;0.5024509739666666;SVM
SVM_pvector;Shap;0.4986194821766666;SVM
Permutation;LRC_perturbation;0.3856001583466666;SVM
Shap;Permutation;0.3568544739666665;SVM
Permutation;LRC_perturbation;0.8180241720966668;MLP
Permutation;LRC_covariance;0.5824598855133333;MLP
Shap;Permutation;0.5511909858466666;MLP
Shap;LRC_perturbation;0.5161464940566666;MLP
Shap;LRC_covariance;0.4793375635533332;MLP
LRC_perturbation;LRC_covariance;0.4628036773033332;MLP
Reg_Coefficient;LRC_perturbation;0.9264177855133334;PLS_PCA
Shap;LRC_perturbation;0.90979556876;PLS_PCA
Shap;Permutation;0.90092656876;PLS_PCA
Reg_Coefficient;Shap;0.8913400821766667;PLS_PCA
Permutation;LRC_perturbation;0.8725694885166665;PLS_PCA
Reg_Coefficient;Permutation;0.8617447720966667;PLS_PCA
VIP_Score;LRC_covariance;0.7855580583466667;PLS_PCA
Shap;LRC_covariance;0.4207510769699999;PLS_PCA
Permutation;LRC_covariance;0.4207510769699999;PLS_PCA
LRC_perturbation;LRC_covariance;0.4050780635533332;PLS_PCA
Reg_Coefficient;LRC_covariance;0.3597433739666665;PLS_PCA
VIP_Score;Permutation;0.3416927855133332;PLS_PCA
VIP_Score;Shap;0.2895605769699999;PLS_PCA
VIP_Score;LRC_perturbation;0.2770197720966666;PLS_PCA
VIP_Score;Reg_Coefficient;0.23289569072;PLS_PCA
SVM_pvector;LRC_covariance;0.9446001583466668;SVM_PCA
Shap;LRC_perturbation;0.92019729072;SVM_PCA
SVM_pvector;Permutation;0.78869026689;SVM_PCA
Permutation;LRC_covariance;0.7771545583466667;SVM_PCA
SVM_pvector;LRC_perturbation;0.5345580583466667;SVM_PCA
LRC_perturbation;LRC_covariance;0.5273651665566667;SVM_PCA
Shap;LRC_covariance;0.5017516907199999;SVM_PCA
SVM_pvector;Shap;0.4986194821766666;SVM_PCA
Permutation;LRC_perturbation;0.4084096583466666;SVM_PCA
Shap;Permutation;0.3568544739666665;SVM_PCA
Permutation;LRC_perturbation;0.8214177855133334;MLP_PCA
Permutation;LRC_covariance;0.6314598855133333;MLP_PCA
Shap;Permutation;0.5511909858466666;MLP_PCA
Shap;LRC_covariance;0.5314697720966667;MLP_PCA
Shap;LRC_perturbation;0.5233393858466666;MLP_PCA
LRC_perturbation;LRC_covariance;0.5099259992633333;MLP_PCA
