Method_1;Method_2;RBO_Score;Model
LRC_covariance;LRC_perturbation;0.3182183992633332;MLP
LRC_covariance;Permutation;0.8667868720966667;MLP
LRC_covariance;Shap;0.4392065635533332;MLP
LRC_covariance;LRC_perturbation;0.3194290074733332;MLP_PCA
LRC_covariance;Permutation;0.87112968885;MLP_PCA
LRC_covariance;Shap;0.4435493803066666;MLP_PCA
LRC_covariance;LRC_perturbation;0.3397943855133332;PLS
LRC_covariance;Permutation;0.3676137720966667;PLS
LRC_covariance;Reg_Coefficient;0.1776200769699999;PLS
LRC_covariance;Shap;0.3767931769699999;PLS
LRC_covariance;VIP_Score;0.8667868720966667;PLS
LRC_covariance;LRC_perturbation;0.3441372022666666;PLS_PCA
LRC_covariance;Permutation;0.37195658885;PLS_PCA
LRC_covariance;Reg_Coefficient;0.1807522855133332;PLS_PCA
LRC_covariance;Shap;0.3811359937233333;PLS_PCA
LRC_covariance;VIP_Score;0.8795331888499999;PLS_PCA
LRC_covariance;LRC_perturbation;0.3347522855133333;SVM
LRC_covariance;Permutation;0.7404171717633333;SVM
LRC_covariance;SVM_pvector;0.6572886717633333;SVM
LRC_covariance;Shap;0.4257931769699998;SVM
LRC_covariance;LRC_perturbation;0.3306916022666666;SVM_PCA
LRC_covariance;Permutation;0.7447599885166666;SVM_PCA
LRC_covariance;SVM_pvector;0.6616314885166665;SVM_PCA
LRC_covariance;Shap;0.4289253855133332;SVM_PCA
LRC_perturbation;LRC_covariance;0.3182183992633332;MLP
LRC_perturbation;Permutation;0.3943267937233332;MLP
LRC_perturbation;Shap;0.8062904940566666;MLP
LRC_perturbation;LRC_covariance;0.3194290074733332;MLP_PCA
LRC_perturbation;Permutation;0.4200517937233332;MLP_PCA
LRC_perturbation;Shap;0.8320154940566666;MLP_PCA
LRC_perturbation;LRC_covariance;0.3397943855133332;PLS
LRC_perturbation;Permutation;0.8949330885166666;PLS
LRC_perturbation;Reg_Coefficient;0.7202291717633333;PLS
LRC_perturbation;Shap;0.9284892665566666;PLS
LRC_perturbation;VIP_Score;0.4363564885166666;PLS
LRC_perturbation;LRC_covariance;0.3441372022666666;PLS_PCA
LRC_perturbation;Permutation;0.8949330885166666;PLS_PCA
LRC_perturbation;Reg_Coefficient;0.7221507720966667;PLS_PCA
LRC_perturbation;Shap;0.9284892665566666;PLS_PCA
LRC_perturbation;VIP_Score;0.4363564885166666;PLS_PCA
LRC_perturbation;LRC_covariance;0.3347522855133333;SVM
LRC_perturbation;Permutation;0.4610875888499999;SVM
LRC_perturbation;SVM_pvector;0.4447599885166666;SVM
LRC_perturbation;Shap;0.8516927855133334;SVM
LRC_perturbation;LRC_covariance;0.3306916022666666;SVM_PCA
LRC_perturbation;Permutation;0.4526840888499999;SVM_PCA
LRC_perturbation;SVM_pvector;0.4363564885166666;SVM_PCA
LRC_perturbation;Shap;0.8516927855133334;SVM_PCA
